response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,Ulster/Dutchess,50 to 85 percent,Cell,1,0.8155,0.6481,0.5536,0.6555,2018-11-01 22:58:24
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9536,0.9023,0.5354,0.8862,2018-11-01 23:00:48
Dem,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.8969,1.0332,0.5982,1.0317,2018-11-01 23:01:24
Rep,50 to 64,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Rest,50 to 85 percent,Landline,1,0.671,1.2462,1.2401,1.2449,2018-11-01 23:02:19
Rep,50 to 64,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Rest,85 percent or higher,Landline,1,0.923,0.9911,0.7196,0.9864,2018-11-01 23:02:44
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.8609,0.9506,0.663,0.9542,2018-11-01 23:03:02
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Landline,1,0.8,1.1936,0.7565,1.2108,2018-11-01 23:03:38
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rensselaer/Columbia,85 percent or higher,Landline,1,0.8833,1.001,0.5711,1.0015,2018-11-01 23:04:05
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Don't know,Don't know,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Rensselaer/Columbia,85 percent or higher,Landline,1,0.921,0.5394,0.2857,0.5369,2018-11-01 23:06:29
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9393,1.0215,0.7621,1.0025,2018-11-01 23:07:50
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,Black,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,Rensselaer/Columbia,50 to 85 percent,Landline,1,0.7052,1.0337,0.7508,1.0696,2018-11-01 23:12:02
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Unknown,Ulster/Dutchess,Less than 50 percent,Landline,1,0.1294,1.6322,6.4731,2.4324,2018-11-01 23:12:29
Und,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.8568,0.6075,0.3878,0.6102,2018-11-01 23:13:50
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.9021,0.6762,0.4008,0.6748,2018-11-01 23:14:37
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.8897,0.5305,0.3918,0.5371,2018-11-01 23:14:53
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.9523,0.6579,0.3777,0.6528,2018-11-01 23:15:11
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.8753,0.6419,0.3693,0.6429,2018-11-01 23:16:41
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9593,0.6986,0.3532,0.6928,2018-11-01 23:16:47
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.8639,1.3786,1.0467,1.3833,2018-11-01 23:20:59
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest,85 percent or higher,Cell,1,0.8547,1.3085,1.0429,1.3149,2018-11-01 23:22:29
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9623,0.499,0.2902,0.4904,2018-11-01 23:23:25
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.867,0.9988,0.5591,0.9805,2018-11-01 23:23:41
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,50 to 64,Non-White,Rest,85 percent or higher,Landline,0.7778,0.9105,0.8374,0.4436,0.804,2018-11-01 23:27:26
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.9078,0.5774,0.4023,0.5757,2018-11-01 23:27:44
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Ulster/Dutchess,50 to 85 percent,Landline,1,0.8405,2.1106,1.519,2.0743,2018-11-01 23:27:53
Dem,65 and older,High school,White,Female,Asian,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,Rest,50 to 85 percent,Landline,1,0.8484,1.2079,0.9322,1.215,2018-11-01 23:28:29
Dem,65 and older,Graduate or Professional Degree,Asian,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Non-White,Ulster/Dutchess,85 percent or higher,Landline,1,0.97,0.7292,0.4558,0.7226,2018-11-01 23:29:41
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.8094,1.2991,0.8308,1.3155,2018-11-01 23:30:53
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.883,0.499,0.3159,0.5059,2018-11-01 23:31:05
Dem,50 to 64,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Rest,Less than 50 percent,Landline,0.1111,0.2319,1.0215,2.3468,0.7418,2018-11-01 23:42:01
Dem,35 to 49,High school,Other,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,High School Grad. or Less,Other,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Non-White,Ulster/Dutchess,Less than 50 percent,Landline,0.5556,0.4681,1.254,2.6835,1.0787,2018-11-01 23:42:20
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.8657,0.9875,0.7467,0.9694,2018-11-01 23:43:58
Und,65 and older,Some college or trade school,White,Female,Other,Disapp.,Don't know,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,65 and older,White,Rest,85 percent or higher,Landline,1,0.8888,0.8065,0.5347,0.8063,2018-11-01 23:56:01
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,White,Rensselaer/Columbia,85 percent or higher,Cell,1,0.97,1.0826,0.5569,1.0648,2018-11-02 00:01:41
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Ulster/Dutchess,50 to 85 percent,Landline,1,0.661,0.8047,0.6632,0.805,2018-11-02 00:03:02
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Ulster/Dutchess,Less than 50 percent,Cell,1,0.3888,1.1941,1.3896,1.382,2018-11-02 00:05:26
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.8776,1.0747,0.8184,1.0761,2018-11-02 00:09:11
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9579,0.7797,0.4487,0.7733,2018-11-02 00:10:14
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Rest,85 percent or higher,Landline,1,0.955,0.5115,0.291,0.5074,2018-11-02 00:15:20
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9351,0.6986,0.3994,0.6943,2018-11-02 00:18:10
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9267,0.9131,0.7192,0.9083,2018-11-02 00:19:40
Und,50 to 64,High school,White,Male,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,0.7778,0.2574,1.4082,3.5463,1.4098,2018-11-02 00:20:25
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rensselaer/Columbia,85 percent or higher,Landline,1,0.8802,0.9198,0.5471,0.9206,2018-11-02 00:21:46
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9149,0.5161,0.3373,0.5142,2018-11-02 00:22:04
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.9606,0.9114,0.4024,0.9038,2018-11-02 00:22:40
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rensselaer/Columbia,85 percent or higher,Cell,1,0.9524,0.5408,0.2959,0.5366,2018-11-02 00:24:18
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rensselaer/Columbia,85 percent or higher,Landline,1,0.9498,0.5595,0.3282,0.5552,2018-11-02 00:25:21
4,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rensselaer/Columbia,85 percent or higher,Landline,1,0.9435,0.7167,0.3728,0.7117,2018-11-02 00:25:22
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.8691,0.6579,0.4134,0.6596,2018-11-02 00:25:49
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rensselaer/Columbia,Less than 50 percent,Landline,1,0.1703,1.2051,3.5854,1.4756,2018-11-02 00:34:42
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,0.1111,0.1061,1.3537,4.5361,0.4135,2018-11-02 00:40:18
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Not very likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,White,Rensselaer/Columbia,Less than 50 percent,Cell,0,0.161,2.5903,10.1,0.7198,2018-11-02 00:44:52
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.9277,1.028,0.5973,1.0226,2018-11-02 00:45:24
Dem,35 to 49,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,or as a member of another political party,Nonwhite,35 to 49,White,Ulster/Dutchess,Less than 50 percent,Cell,1,0.1859,1.135,3.0659,1.3675,2018-11-02 00:48:23
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,Ulster/Dutchess,85 percent or higher,Cell,1,0.8964,0.5155,0.3649,0.5147,2018-11-02 00:49:49
Und,65 and older,High school,Black,Female,Black,Disapp.,Don't know,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,Nonwhite,65 and older,Non-White,Ulster/Dutchess,50 to 85 percent,Landline,1,0.7209,1.378,1.5426,1.4208,2018-11-02 00:54:23
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rensselaer/Columbia,Less than 50 percent,Cell,1,0.3368,0.9898,1.52,1.1808,2018-11-02 00:54:37
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Rest,85 percent or higher,Landline,1,0.9609,0.4228,0.2568,0.4155,2018-11-02 00:58:53
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.8513,0.7565,0.5025,0.7431,2018-11-02 00:58:53
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.3738,1.5326,2.5601,1.7884,2018-11-02 01:04:24
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,65 and older,Non-White,Ulster/Dutchess,50 to 85 percent,Landline,1,0.844,1.1569,0.9924,1.1645,2018-11-02 01:08:36
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.9581,1.0332,0.5603,1.0247,2018-11-02 01:08:45
Rep,50 to 64,Grade school,Black,Female,White,Disapp.,Don't know,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,Non-White,Ulster/Dutchess,85 percent or higher,Landline,1,0.8826,1.1265,1.0301,1.1424,2018-11-02 01:16:15
Rep,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7417,1.2079,1.0656,1.2707,2018-11-02 01:16:31
Rep,50 to 64,Bachelors' degree,White,Female,Black,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,White,Rensselaer/Columbia,85 percent or higher,Landline,1,0.951,0.6769,0.3351,0.6717,2018-11-02 01:19:13
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.9524,0.6083,0.3891,0.6036,2018-11-02 01:21:10
Dem,35 to 49,Graduate or Professional Degree,Other,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,35 to 49,Non-White,Ulster/Dutchess,50 to 85 percent,Cell,0.8889,0.6404,1.1163,1.0714,1.1473,2018-11-02 01:22:31
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.9526,0.8234,0.427,0.817,2018-11-02 01:28:22
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rest,50 to 85 percent,Landline,0.7778,0.7379,2.1539,1.9795,1.8417,2018-11-02 01:30:46
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9565,0.5582,0.3133,0.5537,2018-11-02 01:36:22
4,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.8685,0.6986,0.3897,0.7005,2018-11-02 01:54:35
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,Ulster/Dutchess,85 percent or higher,Cell,1,0.9565,0.7786,0.4764,0.7723,2018-11-02 02:19:33
3,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.6627,0.7901,0.7218,0.8262,2018-11-02 02:23:18
Dem,18 to 34,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,Unknown,Rensselaer/Columbia,85 percent or higher,Cell,1,0.9553,1.4797,1.0152,1.4678,2018-11-02 02:23:45
4,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Ulster/Dutchess,50 to 85 percent,Cell,1,0.8183,1.9391,1.6431,1.9606,2018-11-02 02:33:42
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,White,Rensselaer/Columbia,50 to 85 percent,Cell,1,0.7906,0.9481,0.5268,0.9837,2018-11-02 02:34:09
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Ulster/Dutchess,50 to 85 percent,Cell,1,0.848,2.518,1.5487,2.5329,2018-11-02 02:43:54
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Ulster/Dutchess,85 percent or higher,Landline,1,0.9351,0.9428,0.4572,0.9371,2018-11-02 02:51:10
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.9262,1.317,0.6755,1.3102,2018-11-02 02:51:46
Rep,50 to 64,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,50 to 64,White,Ulster/Dutchess,50 to 85 percent,Cell,1,0.6104,1.0892,0.7882,1.0984,2018-11-02 02:52:49
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.8646,0.735,0.3929,0.7485,2018-11-02 03:38:05
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Ulster/Dutchess,50 to 85 percent,Cell,1,0.7618,1.4068,0.9546,1.4378,2018-11-02 03:43:20
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.9415,1.028,0.5886,1.0211,2018-11-02 03:45:35
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Rensselaer/Columbia,85 percent or higher,Cell,1,0.97,0.8382,0.3352,0.8245,2018-11-02 03:51:25
Dem,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Ulster/Dutchess,Less than 50 percent,Landline,1,0.2846,1.204,2.2998,1.4903,2018-11-02 04:31:32
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9464,0.5582,0.3166,0.5584,2018-11-02 04:34:05
