response,ager,educ,file_race,gender,race_eth,approve,COAL,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,50 to 85 percent,Landline,1,0.7013,1.7828,1.233,1.8856
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Don't know,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,support,yes,agree,disagree,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Coal Country,18 to 34,White,50 to 85 percent,Cell,0.8889,0.7763,0.6648,0.3958,0.6572
Rep,65 and older,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,disagree,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,Less than 50 percent,Landline,1,0.2932,1.6228,3.8855,1.8465
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,support,agree,Dems. take House,Don't know,Favorable,oppose,support,no,disagree,disagree,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.9335,0.825,0.3186,0.8375
Rep,65 and older,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,agree,agree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9725,1.6099,0.7763,1.629
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.9266,0.4687,0.2224,0.4762
Dem,50 to 64,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,agree,disagree,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Cell,1,0.9235,1.3549,0.7665,1.3573
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9232,0.5572,0.2349,0.5663
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9813,0.4779,0.2162,0.4834
Und,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Favorable,oppose,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,50 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.956,0.5626,0.229,0.5699
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,support,disagree,Reps. keep House,Don't know,Favorable,Don't know,Don't know,no,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,0.1111,0.9868,0.5008,0.2078,0.4731
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Landline,1,0.8691,0.5621,0.2727,0.5635
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,Don't know,Don't know,Unfavorable,Unfavorable,support,support,no,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,50 to 85 percent,Cell,1,0.7142,0.9528,0.5904,0.9667
Dem,35 to 49,Bachelors' degree,Other,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Mr. Ojeda's District,35 to 49,Unknown/Non-White,85 percent or higher,Landline,1,0.9343,0.7164,0.3629,0.7272
Und,65 and older,Bachelors' degree,White,Female,White,Approve,support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,oppose,no,disagree,disagree,Don't know,65 and older,4-year College Grad.,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,65 and older,White,Less than 50 percent,Landline,0.8889,0.4342,1.0627,1.3354,1.0914
Dem,50 to 64,[DO NOT READ] Refused,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,no,agree,agree,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Landline,1,0.8709,0.6014,0.5547,0.6028
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,no,disagree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Landline,1,0.8744,0.6523,0.3335,0.6538
Rep,65 and older,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,yes,agree,agree,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.9744,1.3025,0.7343,1.3091
Und,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,support,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Coal Country,35 to 49,Unknown/Non-White,Less than 50 percent,Cell,1,0.2671,1.4026,3.2569,1.7983
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,oppose,oppose,yes,Don't know,disagree,agree,30 to 44,Some College Educ.,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,35 to 49,White,Less than 50 percent,Landline,1,0.2621,0.9268,3.5743,0.7913
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,disagree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,Greenbrier/East,35 to 49,White,Less than 50 percent,Landline,1,0.4959,0.7988,0.9088,0.7326
Dem,65 and older,Grade school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,oppose,oppose,no,agree,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,50 to 85 percent,Landline,0.7778,0.6753,2.9917,2.2132,3.0449
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,Don't know,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,50 to 85 percent,Cell,0.8889,0.6525,1.0223,0.676,1.017
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,support,disagree,Don't know,Favorable,Unfavorable,oppose,oppose,yes,disagree,disagree,disagree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Landline,1,0.9561,0.766,0.2951,0.7684
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Don't know,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Landline,0.7778,0.9663,0.4452,0.143,0.4421
Und,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Dems. take House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,50 to 85 percent,Landline,1,0.636,0.6064,0.3866,0.6218
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,support,agree,Dems. take House,Don't know,Don't know,oppose,oppose,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,50 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.9801,0.9194,0.306,0.9302
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,yes,disagree,agree,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9753,0.6765,0.3065,0.68
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,yes,disagree,disagree,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,Less than 50 percent,Landline,1,0.1669,1.1455,5.9182,1.4376
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,disagree,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9493,0.8556,0.3193,0.8672
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,support,support,no,agree,agree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Landline,1,0.9348,1.1712,0.4738,1.1887
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,support,oppose,no,disagree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,35 to 49,White,50 to 85 percent,Landline,1,0.823,1.2107,0.8031,1.2164
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,support,support,yes,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,50 to 85 percent,Landline,1,0.5154,0.7912,0.6221,0.8841
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,oppose,disagree,Don't know,Don't know,Don't know,oppose,oppose,yes,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Mr. Ojeda's District,50 to 64,White,50 to 85 percent,Cell,0.6667,0.694,0.3574,0.2161,0.3341
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,no,agree,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9847,0.5572,0.2215,0.5611
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9559,0.8852,0.3431,0.8967
Und,65 and older,High school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,oppose,support,no,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.9519,1.9798,0.9832,2.0061
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,85 percent or higher,Landline,1,0.9675,0.5258,0.2427,0.5321
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.9716,0.453,0.1976,0.4585
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,disagree,disagree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.971,0.9426,0.4756,0.9538
Rep,65 and older,High school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Landline,0.4444,0.647,2.597,2.2961,1.8904
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,yes,disagree,agree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,18 to 34,White,50 to 85 percent,Cell,1,0.5572,1.3366,1.359,1.4719
Rep,65 and older,High school,White,Female,White,Approve,support,agree,Reps. keep House,Favorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Landline,1,0.79,2.6868,2.0463,2.7886
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Landline,1,0.9156,0.6261,0.3177,0.6369
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,no,agree,disagree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9813,0.911,0.4347,0.9217
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Landline,1,0.9589,0.5829,0.2534,0.5904
Rep,65 and older,Grade school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,support,no,agree,disagree,agree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,Less than 50 percent,Landline,1,0.2838,2.5499,6.6384,2.9169
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,65 and older,Postgraduate Degree,Democratic,Female,Not very likely,Republican,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,50 to 85 percent,Landline,0,0.8446,0.7912,0.3874,0.4792
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,oppose,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Greenbrier/East,35 to 49,White,Less than 50 percent,Landline,1,0.2949,0.5439,1.1611,0.6183
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,disagree,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,Less than 50 percent,Cell,1,0.18,0.8351,2.5592,1.1736
Dem,35 to 49,High school,White,Female,White,Approve,support,disagree,Don't know,Favorable,Don't know,Don't know,oppose,yes,agree,agree,agree,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,Less than 50 percent,Cell,0.4444,0.3015,1.6859,4.367,1.0439
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Favorable,oppose,oppose,no,agree,agree,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.9212,0.5008,0.2211,0.5091
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,Approve,Don't know,Don't know,Don't know,Don't know,Favorable,support,support,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Landline,0.7778,0.6044,1.0665,1.2167,1.0295
Und,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,oppose,oppose,no,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9679,0.6235,0.2848,0.6311
Dem,65 and older,Some college or trade school,Other,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,oppose,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.9833,1.5425,0.8602,1.5527
Und,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,50 to 85 percent,Landline,0.2222,0.8042,0.8809,0.4463,0.5668
Rep,65 and older,High school,White,Female,White,Approve,support,agree,Dems. take House,Don't know,Favorable,oppose,oppose,no,disagree,agree,agree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Landline,1,0.9473,1.5087,0.6933,1.5125
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,support,yes,agree,agree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9816,0.4454,0.1971,0.4506
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.9883,0.9502,0.5002,0.9614
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,oppose,oppose,no,agree,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9062,0.5842,0.2188,0.595
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Approve,support,disagree,Dems. take House,Don't know,Don't know,oppose,oppose,no,disagree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,35 to 49,Unknown/Non-White,Less than 50 percent,Cell,1,0.2043,1.4033,6.2109,1.6977
Dem,50 to 64,High school,Asian,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,no,agree,agree,disagree,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.9785,1.4041,0.5885,1.4121
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Dems. take House,Unfavorable,Don't know,oppose,oppose,no,disagree,disagree,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Landline,1,0.9406,1.3096,0.6942,1.3284
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Landline,1,0.9257,0.3825,0.1438,0.3832
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,Don't know,yes,agree,disagree,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,18 to 34,White,50 to 85 percent,Cell,1,0.7349,1.1098,0.9937,1.1233
Dem,65 and older,Some college or trade school,White,Male,White,Don't know,support,agree,Dems. take House,Favorable,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Landline,1,0.9694,0.6999,0.3333,0.703
Dem,65 and older,High school,White,Female,Other,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,no,agree,agree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.9057,1.9736,1.3377,2.0102
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Don't know,Favorable,Unfavorable,oppose,oppose,yes,disagree,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.8537,2.0482,1.1875,2.1021
Und,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,support,no,disagree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,85 percent or higher,Landline,1,0.9617,0.6471,0.2857,0.6552
Dem,50 to 64,High school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,oppose,oppose,yes,agree,agree,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,50 to 85 percent,Landline,0.4444,0.5964,2.0538,1.4544,1.4548
Rep,65 and older,High school,Unknown,Female,White,Don't know,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,disagree,disagree,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.9777,2.6705,1.3727,2.7017
Dem,65 and older,High school,White,Female,White,Approve,support,Don't know,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,no,agree,agree,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9433,2.2789,1.1513,2.3111
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Landline,1,0.9124,0.6286,0.3798,0.6397
Rep,35 to 49,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.9113,1.838,0.9695,1.8411
Dem,65 and older,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Don't know,oppose,oppose,no,agree,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.9762,1.6438,0.9207,1.6631
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,50 to 85 percent,Landline,1,0.8263,1.0223,0.538,1.054
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.9544,0.7464,0.292,0.7561
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,support,disagree,Reps. keep House,Don't know,Don't know,Don't know,support,yes,disagree,disagree,agree,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,50 to 85 percent,Cell,0.6667,0.7232,0.3709,0.1771,0.3097
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,no,Don't know,agree,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,18 to 34,White,Less than 50 percent,Landline,1,0.0425,0.8048,4.6046,1.6038
