response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,50 to 85 percent,Landline,1,0.8359,1.1418,0.6282,1.1513,2018-10-23 14:07:51
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.9638,0.691,0.3321,0.6853,2018-10-23 14:07:51
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.97,0.7188,0.3753,0.7126,2018-10-23 14:07:51
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Northwest,85 percent or higher,Cell,0.4444,0.8647,1.3711,0.9247,1.0828,2018-10-23 14:07:51
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9558,0.8699,0.4191,0.8548,2018-10-23 14:07:51
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.9476,0.4392,0.9394,2018-10-23 14:07:51
Und,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Unfavorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.9505,0.7018,0.3434,0.6967,2018-10-23 14:08:00
Dem,65 and older,Some college or trade school,Black,Female,Black,Approve,Dems. take House,Favorable,Don't know,Beto O'Rourke,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,West,Less than 50 percent,Cell,0.8889,0.452,1.0483,1.6773,1.0506,2018-10-23 14:08:00
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,White,Disapp.,Dems. take House,Don't know,Favorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,0.7843,0.4272,0.7776,2018-10-23 14:08:09
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.97,1.2692,0.7745,1.2583,2018-10-23 14:08:09
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,Asian,Disapp.,Don't know,Favorable,Favorable,Beto O'Rourke,18 to 29,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,Unknown,Northwest,50 to 85 percent,Cell,1,0.7037,0.9407,0.5826,0.9361,2018-10-23 14:08:09
Und,50 to 64,Graduate or Professional Degree,Black,Female,White,Don't know,Don't know,Favorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.86,0.4652,0.8463,2018-10-23 14:08:09
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.2889,0.7897,1.2778,2018-10-23 14:08:09
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Favorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Not very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,50 to 85 percent,Landline,0.2222,0.6624,0.8522,0.5253,0.4561,2018-10-23 14:08:09
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.97,0.7322,0.3476,0.7259,2018-10-23 14:08:18
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Unknown,Northwest,85 percent or higher,Landline,1,0.97,0.7645,0.3578,0.7522,2018-10-23 14:08:18
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,50 to 85 percent,Landline,0.8889,0.7465,0.9093,0.6224,0.9169,2018-10-23 14:08:18
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,50 to 85 percent,Landline,1,0.7724,1.0943,0.6582,1.1415,2018-10-23 14:08:27
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.97,1.2167,0.8208,1.2124,2018-10-23 14:08:27
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.1476,0.6113,1.1,2018-10-23 14:08:27
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.9444,1.2164,0.77,1.2083,2018-10-23 14:08:27
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Unfavorable,Unfavorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,0.8084,0.3845,0.8014,2018-10-23 14:08:36
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.97,1.2164,0.7497,1.2121,2018-10-23 14:08:45
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.97,0.7018,0.3365,0.6993,2018-10-23 14:08:54
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.97,1.2164,0.7497,1.2059,2018-10-23 14:09:03
Rep,[DO NOT READ] Refused,Bachelors' degree,Black,Male,Asian,Disapp.,Reps. keep House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9635,1.0509,0.6491,1.0333,2018-10-23 14:09:03
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,Postgraduate Degree,Hispanic,West,85 percent or higher,Cell,1,0.8873,0.9085,0.6349,0.8917,2018-10-23 14:09:12
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,Less than 50 percent,Cell,1,0.4707,0.7948,0.9314,0.8854,2018-10-23 14:09:12
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,Nonwhite,40 to 64,Postgraduate Degree,Hispanic,Inner Loop/Bellaire,Less than 50 percent,Cell,1,0.481,0.7975,0.8365,0.8272,2018-10-23 14:09:21
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,West,50 to 85 percent,Cell,1,0.8363,0.9438,0.6865,0.9681,2018-10-23 14:09:21
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.97,0.7018,0.3365,0.6906,2018-10-23 14:09:21
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Northwest,85 percent or higher,Cell,1,0.97,0.7763,0.3649,0.7736,2018-10-23 14:09:30
Und,18 to 34,Some college or trade school,White,Male,Black,Disapp.,Don't know,Don't know,Don't know,Ted Cruz,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,White,Inner Loop/Bellaire,Less than 50 percent,Cell,0,0.3054,1.1417,2.3249,0.2783,2018-10-23 14:09:30
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9106,1.8366,1.3437,1.8313,2018-10-23 14:09:30
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9481,0.5074,0.9399,2018-10-23 14:09:30
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.1655,0.6233,1.1613,2018-10-23 14:09:30
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9698,1.0831,0.5804,1.0738,2018-10-23 14:09:39
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,50 to 85 percent,Cell,1,0.8432,0.9635,0.5804,0.9704,2018-10-23 14:09:39
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,50 to 85 percent,Cell,1,0.5865,0.9788,0.9315,1.046,2018-10-23 14:09:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.97,0.7076,0.3362,0.7015,2018-10-23 14:09:39
Rep,35 to 49,Bachelors' degree,Asian,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Other Non-White,Northwest,Less than 50 percent,Landline,1,0.4089,0.7855,1.1033,0.9001,2018-10-23 14:09:57
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.2532,0.8293,1.2332,2018-10-23 14:09:57
Dem,18 to 34,Bachelors' degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Other Non-White,Northwest,85 percent or higher,Landline,1,0.967,0.9179,0.6145,0.9101,2018-10-23 14:09:57
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.4571,0.89,1.4518,2018-10-23 14:10:06
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.97,0.691,0.33,0.6851,2018-10-23 14:10:15
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.9341,0.9403,0.5274,0.935,2018-10-23 14:10:15
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,0.6667,0.97,1.1726,0.6767,1.1062,2018-10-23 14:10:15
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9683,1.5078,0.9218,1.4834,2018-10-23 14:10:24
Rep,35 to 49,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,4-year College Grad.,White,West,85 percent or higher,Cell,1,0.9632,0.9966,0.5898,0.9884,2018-10-23 14:10:42
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Already voted,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,West,50 to 85 percent,Cell,1,0.7222,0.8202,0.5866,0.8683,2018-10-23 14:10:42
Dem,18 to 34,High school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,Ted Cruz,30 to 44,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Northwest,Less than 50 percent,Cell,1,0.1902,1.0342,3.3738,1.2414,2018-10-23 14:10:42
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.8877,0.9259,0.5442,0.9261,2018-10-23 14:10:42
Rep,18 to 34,Bachelors' degree,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,West,Less than 50 percent,Cell,1,0.0922,0.7694,3.5285,1.0599,2018-10-23 14:10:42
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,0.8406,0.3994,0.8272,2018-10-23 14:10:51
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,West,85 percent or higher,Cell,1,0.97,0.6783,0.3563,0.6725,2018-10-23 14:10:51
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Hispanic,Inner Loop/Bellaire,Less than 50 percent,Landline,1,0.4504,0.7975,0.8933,0.8962,2018-10-23 14:10:51
Und,35 to 49,Some college or trade school,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,Beto O'Rourke,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Northwest,50 to 85 percent,Cell,1,0.6585,1.394,1.1179,1.4597,2018-10-23 14:11:00
Und,35 to 49,Some college or trade school,White,Male,Asian,Disapp.,Reps. keep House,Don't know,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,West,50 to 85 percent,Cell,1,0.6131,1.416,1.3403,1.2149,2018-10-23 14:11:00
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9963,0.5349,0.9804,2018-10-23 14:11:00
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.97,0.7018,0.3365,0.6957,2018-10-23 14:11:09
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Unfavorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.97,0.691,0.33,0.6851,2018-10-23 14:11:09
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.97,0.9403,0.5078,0.9322,2018-10-23 14:11:09
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,West,50 to 85 percent,Cell,1,0.7481,1.4495,1.2087,1.4353,2018-10-23 14:11:18
Und,18 to 34,Bachelors' degree,Other,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Male,Not very likely,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 39,4-year College Grad.,Other Non-White,West,50 to 85 percent,Cell,0,0.7966,0.9476,0.828,0.5181,2018-10-23 14:11:18
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,West,50 to 85 percent,Cell,1,0.8402,1.1204,0.7289,1.129,2018-10-23 14:11:18
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.97,0.9086,0.4912,0.9008,2018-10-23 14:11:27
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.7812,0.3719,0.7745,2018-10-23 14:11:27
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.97,1.2889,0.7897,1.2843,2018-10-23 14:11:27
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.9657,0.9481,0.5096,0.9401,2018-10-23 14:11:36
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,18 to 29,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,Northwest,Less than 50 percent,Landline,1,0.2635,0.7575,1.7992,0.9543,2018-10-23 14:11:36
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Not very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9403,0.5078,0.8923,2018-10-23 14:11:36
Und,35 to 49,High school,Black,Male,Black,Disapp.,Don't know,Don't know,Don't know,Don't know,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.8484,1.3352,1.0467,1.3435,2018-10-23 14:11:45
Dem,35 to 49,Some college or trade school,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.1575,0.7112,1.1475,2018-10-23 14:11:45
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.8084,0.3845,0.8014,2018-10-23 14:11:45
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9628,0.5174,0.9474,2018-10-23 14:11:45
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.109,0.5912,1.0913,2018-10-23 14:11:54
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.9624,0.7061,0.3682,0.7003,2018-10-23 14:11:54
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9628,0.5174,0.9545,2018-10-23 14:11:54
