response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9793,2.9539,2.4207,3.0781
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Less Rep,White,Scott,85 percent or higher,Landline,1,0.9331,1.0299,0.9029,1.0629
Dem,65 and older,Bachelors' degree,Other,Female,White,Don't know,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Less Rep,Non-White,Dakota,85 percent or higher,Landline,1,0.8818,1.0254,0.783,1.0583
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Less Dem,White,Rest,50 to 85 percent,Landline,1,0.6686,0.8701,1.0448,0.9146
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Less Rep,White,Dakota,85 percent or higher,Cell,1,0.969,0.6418,0.4371,0.6691
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Other,Male,Not very likely,Democrat,"White, No 4-Year College Degree",65 and older,Less Rep,White,Rest,50 to 85 percent,Cell,0.3333,0.8185,1.109,1.0076,0.7922
Und,65 and older,High school,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Support,oppose,Dems. take House,Unfavorable,Unfavorable,Don't know,disagree,65 and older,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Less Dem,White,Rest,85 percent or higher,Landline,0,0.9937,2.186,1.8157,2.0694
Dem,65 and older,Bachelors' degree,Other,Female,White,support,Disapp.,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Most Dem,Non-White,Dakota,85 percent or higher,Landline,1,0.9591,0.9108,0.6725,0.9501
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Most Dem,White,Rest,85 percent or higher,Landline,1,0.9521,0.6275,0.4481,0.6549
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,85 percent or higher,Cell,1,0.9259,0.8546,0.7911,0.8818
Rep,65 and older,High school,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9669,2.1793,1.9518,2.2721
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Less Dem,White,Rest,85 percent or higher,Landline,1,0.9071,0.4888,0.363,0.5127
Rep,50 to 64,Some college or trade school,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Most Rep,Unknown,Scott,85 percent or higher,Cell,1,0.9545,1.213,1.0666,1.2532
Dem,50 to 64,Some college or trade school,Unknown,Male,Black,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,50 to 64,Less Dem,Unknown,Dakota,85 percent or higher,Cell,1,0.8996,1.0995,1.0146,1.1344
Dem,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Favorable,Unfavorable,Do not believe,agree,45 to 64,Some College Educ.,Other,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,Less Rep,White,Dakota,85 percent or higher,Landline,0.8889,0.9103,1.1583,1.0109,1.1831
Und,35 to 49,High school,White,Female,White,Don't know,Disapp.,Check,support,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,High School Grad. or Less,Other,Female,Not very likely,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,Less Rep,White,Dakota,50 to 85 percent,Cell,0.3333,0.5153,3.5133,5.6156,1.8798
Dem,50 to 64,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Most Rep,Unknown,Dakota,85 percent or higher,Landline,1,0.9196,1.2414,1.0908,1.3001
Und,18 to 34,Some college or trade school,Unknown,Female,Asian,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Most Dem,Unknown,Dakota,Less than 50 percent,Cell,0.8889,0.3055,0.6775,1.6452,0.7457
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 34,Less Rep,White,Scott,50 to 85 percent,Cell,0.6667,0.7969,1.0283,1.0876,0.9127
Und,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Don't know,Believe,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Most Rep,White,Dakota,85 percent or higher,Cell,1,0.8852,0.9557,0.8312,0.9863
Rep,65 and older,Bachelors' degree,White,Male,White,support,Disapp.,Check,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Most Rep,White,Dakota,85 percent or higher,Cell,1,0.8565,0.8697,0.775,0.919
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,Hispanic,oppose,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,50 to 64,Less Dem,Non-White,Dakota,85 percent or higher,Landline,1,0.9218,0.5616,0.4089,0.588
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Check,Don't know,Reps. keep House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9724,0.8546,0.7533,0.8907
Dem,35 to 49,High school,White,Female,White,Don't know,Don't know,Support,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,High School Grad. or Less,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,Less Dem,White,Dakota,50 to 85 percent,Cell,0.3333,0.7683,2.8485,3.3234,1.9211
Rep,65 and older,Bachelors' degree,Unknown,Male,White,support,Approve,Check,oppose,Dems. take House,Don't know,Don't know,Do not believe,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Most Rep,Unknown,Scott,85 percent or higher,Cell,1,0.9536,0.9628,0.7624,1.0048
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Less Rep,White,Rest,85 percent or higher,Cell,1,0.9641,1.0135,0.7224,1.0568
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.991,0.9501,0.6908,0.9903
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Less Dem,White,Rest,85 percent or higher,Cell,1,0.9968,0.942,0.7788,0.9811
Und,65 and older,Bachelors' degree,White,Male,White,support,Approve,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,65 and older,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",65 and older,Less Rep,White,Dakota,85 percent or higher,Landline,0.4444,0.9495,0.9501,0.721,0.8953
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Disapp.,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,Most Rep,White,Dakota,85 percent or higher,Cell,1,0.9898,1.0837,0.8734,1.1294
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Less Dem,White,Rest,50 to 85 percent,Cell,0.7778,0.7366,0.8619,0.8668,0.8571
Rep,65 and older,High school,White,Female,White,support,Disapp.,Don't know,support,Reps. keep House,Unfavorable,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Most Rep,White,Rest,85 percent or higher,Landline,0.8889,0.8982,2.3884,2.1192,2.4374
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Less Dem,White,Dakota,85 percent or higher,Cell,1,0.9762,0.4735,0.3453,0.4935
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Most Rep,White,Scott,85 percent or higher,Landline,1,0.9531,1.036,0.9501,1.0812
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,Do not believe,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Most Rep,White,Dakota,85 percent or higher,Landline,1,0.9151,0.92490000000000006,0.7719,0.9691
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9581,0.7454,0.6052,0.7776
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9943,0.4582,0.3255,0.4778
Rep,65 and older,Bachelors' degree,Unknown,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Most Rep,Unknown,Dakota,85 percent or higher,Landline,1,0.9962,0.9854,0.7191,1.0277
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,support,Approve,Check,support,Reps. keep House,Unfavorable,Favorable,Believe,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Most Rep,Unknown,Dakota,85 percent or higher,Cell,1,0.9194,1.0478,0.8291,1.0974
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Check,oppose,Don't know,Unfavorable,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Most Dem,White,Dakota,85 percent or higher,Landline,1,0.9725,0.5517,0.3905,0.575
Dem,65 and older,Bachelors' degree,Asian,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Most Dem,Non-White,Rest,85 percent or higher,Landline,1,0.963,0.8841,0.6148,0.922
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9656,0.9501,0.7089,0.9906
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,agree,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Less Dem,White,Dakota,50 to 85 percent,Cell,1,0.545,0.7202,1.0507,0.8202
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Less Dem,White,Dakota,85 percent or higher,Cell,1,0.9838,1.0648,0.9696,1.1095
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Most Dem,White,Dakota,85 percent or higher,Landline,1,0.9919,0.5517,0.3829,0.5751
Rep,50 to 64,High school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9972,2.4749,2.1852,2.5819
Rep,18 to 34,High school,White,Male,White,Don't know,Don't know,Check,oppose,Don't know,Unfavorable,Favorable,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,Less Rep,White,Dakota,Less than 50 percent,Cell,0,0.4377,1.7741,3.0571,0.5243
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Rep,White,Rest,85 percent or higher,Landline,1,0.9971,1.0573,0.7961,1.103
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9765,0.4735,0.3452,0.4935
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Favorable,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9665,0.6418,0.4382,0.6692
Und,35 to 49,Some college or trade school,Unknown,Male,White,support,Approve,Support,Don't know,Don't know,Don't know,Favorable,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,Less Rep,Unknown,Dakota,85 percent or higher,Cell,1,0.9254,1.1366,0.9585,1.1728
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9918,0.8831,0.7693,0.9205
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Less Rep,White,Scott,85 percent or higher,Landline,1,0.9194,0.6069,0.4488,0.6262
Rep,35 to 49,Graduate or Professional Degree,White,Male,Asian,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,35 to 49,Less Rep,White,Dakota,85 percent or higher,Cell,1,0.9528,0.7278,0.5222,0.7595
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Most Dem,White,Rest,85 percent or higher,Cell,1,0.9351,0.5036,0.3503,0.5198
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Most Rep,White,Rest,85 percent or higher,Cell,0.7778,0.8878,1.0519,0.8937,1.0012
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Most Rep,Unknown,Scott,85 percent or higher,Landline,1,0.9838,0.5728,0.3959,0.5968
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Disapp.,Support,support,Reps. keep House,Unfavorable,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",35 to 49,Less Rep,White,Dakota,50 to 85 percent,Landline,0.6667,0.7629,1.2418,1.2142,1.0857
Rep,35 to 49,Some college or trade school,White,Female,Asian,oppose,Approve,Support,Don't know,Reps. keep House,Unfavorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,35 to 49,Less Rep,White,Scott,85 percent or higher,Cell,1,0.8883,1.2833,1.2352,1.3495
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Less Rep,White,Dakota,85 percent or higher,Cell,1,0.9243,1.197,1.0371,1.2528
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Postgraduate Degree,Other,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",18 to 34,Less Rep,White,Dakota,50 to 85 percent,Cell,0.4444,0.5158,0.5643,0.7314,0.3952
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,Less Dem,White,Dakota,50 to 85 percent,Cell,1,0.5766,0.7202,0.9931,0.7686
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Less Dem,White,Rest,85 percent or higher,Cell,1,0.891,0.5542,0.4341,0.5826
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Believe,agree,30 to 44,Some College Educ.,Other,Male,Not at all likely,Republican,"White, No 4-Year College Degree",18 to 34,Less Dem,White,Dakota,Less than 50 percent,Cell,0.4444,0.4069,0.564,1.1263,0.2478
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9976,0.9194,0.6587,0.9593
Und,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,Most Rep,White,Rest,Less than 50 percent,Cell,0.8889,0.4451,0.5392,0.8221,0.569
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Less Rep,White,Scott,50 to 85 percent,Landline,1,0.8486,1.0803,1.0316,1.143
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Don't know,Disapp.,Check,support,Don't know,Don't know,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,Most Rep,White,Dakota,85 percent or higher,Cell,0.8889,0.9097,1.2424,1.2005,1.2689
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Less Dem,White,Dakota,50 to 85 percent,Landline,0.8889,0.7887,0.4807,0.4263,0.5064
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Most Dem,White,Rest,85 percent or higher,Landline,1,0.977,0.5534,0.3717,0.5767
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Less Rep,White,Scott,85 percent or higher,Cell,1,0.997,0.9284,0.6968,0.9685
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9438,1.0103,0.7718,1.0553
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Most Dem,White,Dakota,85 percent or higher,Landline,1,0.9872,0.5021,0.3471,0.521
Rep,18 to 34,High school,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,Less Rep,Unknown,Scott,50 to 85 percent,Cell,1,0.8248,2.971,2.9214,3.1559
Und,18 to 34,High school,Other,Female,White,oppose,Disapp.,Don't know,support,Reps. keep House,Don't know,Don't know,Don't know,agree,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,Most Dem,Non-White,Dakota,Less than 50 percent,Cell,1,0.4374,1.7008,2.8823,1.8782
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,Less Dem,White,Dakota,50 to 85 percent,Landline,1,0.7909,0.8532,0.9526,0.9119
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Most Rep,White,Rest,85 percent or higher,Cell,1,0.9211,0.8977,0.7038,0.94
Rep,50 to 64,Bachelors' degree,White,Male,Other,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Less Dem,White,Dakota,85 percent or higher,Cell,1,0.9444,0.8465,0.709,0.8841
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,Most Rep,Unknown,Rest,85 percent or higher,Cell,1,0.921,0.6461,0.4417,0.6667
Dem,35 to 49,Bachelors' degree,White,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,Less Dem,White,Dakota,Less than 50 percent,Cell,1,0.4608,0.6656,1.079,0.7829
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Disapp.,Don't know,support,Don't know,Unfavorable,Favorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Most Dem,White,Dakota,85 percent or higher,Landline,1,0.929,1.0289,0.9253,1.0618
Dem,65 and older,Some college or trade school,White,Male,White,support,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Less Rep,White,Rest,50 to 85 percent,Landline,1,0.7858,1.109,1.0495,1.1507
