response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,White,50 to 85 percent,Cell,1,0.7585,0.9954,0.3591,1.0227
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,35 to 49,White,Less than 50 percent,Cell,1,0.3209,0.8142,0.9127,0.986
Rep,65 and older,Graduate or Professional Degree,White,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,Nonwhite,Staten Island,65 and older,White,85 percent or higher,Cell,0.7778,0.9128,0.8806,0.2351,0.8106
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9637,0.802,0.2013,0.7987
Rep,65 and older,High school,White,Male,Hispanic,Approve,Don't know,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Brooklyn,65 and older,White,Less than 50 percent,Cell,1,0.3027,1.1687,2.4081,1.4335
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.8436,0.7202,0.1916,0.7109
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,Less than 50 percent,Cell,1,0.0612,1.084,3.8046,1.6259
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,Don't know,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Staten Island,35 to 49,Hispanic,Less than 50 percent,Landline,0.7778,0.3095,1.1779,1.9223,1.1636
Rep,65 and older,High school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.9601,1.4072,0.6603,1.4017
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,50 to 64,White,50 to 85 percent,Landline,1,0.5403,1.0241,0.5875,1.1157
Dem,18 to 34,Bachelors' degree,Other,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,18 to 34,Other Non-White,Less than 50 percent,Landline,1,0.3008,1.1067,1.7633,1.3593
Rep,65 and older,High school,White,Male,White,Approve,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,65 and older,White,50 to 85 percent,Landline,1,0.6434,1.5303,1.0539,1.6156
Und,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,18 to 34,Unknown,Less than 50 percent,Landline,1,0.2921,0.735,1.2201,0.9087
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.8258,0.8488,0.3977,0.8609
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Landline,0.8889,0.9114,0.7067,0.3104,0.7021
Und,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",Staten Island,35 to 49,White,Less than 50 percent,Landline,0.5556,0.174,0.7175,2.4587,0.3627
Und,18 to 34,Graduate or Professional Degree,Hispanic,Female,White,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",Staten Island,18 to 34,Hispanic,Less than 50 percent,Landline,0,0.2077,1.0458,2.1962,0.2325
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,65 and older,Unknown,85 percent or higher,Landline,1,0.9686,0.8134,0.4953,0.8098
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,65 and older,White,50 to 85 percent,Landline,1,0.8246,1.5303,0.8225,1.5525
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.8238,0.8249,0.2016,0.837
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Brooklyn,50 to 64,White,Less than 50 percent,Landline,1,0.3162,0.7082,0.9938,0.7832
Und,18 to 34,Bachelors' degree,Asian,Female,Asian,Don't know,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Brooklyn,18 to 34,Other Non-White,50 to 85 percent,Cell,1,0.505,1.0093,0.7531,1.0448
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Already voted,or as a member of another political party,"White, No 4-Year College Degree",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.8422,1.4151,0.5417,1.4554
Und,35 to 49,Bachelors' degree,White,Male,White,Don't know,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",Staten Island,35 to 49,White,Less than 50 percent,Cell,0.1111,0.3554,0.9585,1.3746,0.3522
Und,65 and older,High school,White,Female,Other,Approve,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Staten Island,65 and older,White,Less than 50 percent,Landline,1,0.271,1.678,3.4895,1.9025
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9645,0.8288,0.2434,0.8254
Rep,65 and older,Some college or trade school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,65 and older,Other Non-White,Less than 50 percent,Landline,1,0.4822,0.976,1.3186,1.0866
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,65 and older,Other Non-White,85 percent or higher,Cell,1,0.9593,1.7352,0.8139,1.7285
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9114,0.7067,0.3104,0.7076
Und,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,Unknown,85 percent or higher,Landline,1,0.864,0.97,0.5496,0.9777
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Cell,1,0.97,0.7973,0.204,0.7878
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.8987,0.8001,0.3366,0.8023
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,35 to 49,Unknown,50 to 85 percent,Landline,1,0.8151,0.9552,0.7753,0.9707
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.7723,0.753,0.2434,0.7715
Und,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,Staten Island,35 to 49,Hispanic,Less than 50 percent,Cell,1,0.4968,0.8889,1.2905,0.9839
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Favorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.5181,1.0161,0.3545,1.0486
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Staten Island,35 to 49,White,50 to 85 percent,Landline,1,0.5367,0.9363,0.4844,0.9622
Dem,65 and older,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Brooklyn,65 and older,White,85 percent or higher,Cell,1,0.9482,0.7409,0.3498,0.7388
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Cell,1,0.8945,0.8836,0.3671,0.8866
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Staten Island,50 to 64,Unknown,85 percent or higher,Cell,0,0.97,0.8835,0.4423,0.8097
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Hispanic,50 to 85 percent,Landline,1,0.7686,1.3699,0.5643,1.3595
Rep,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Staten Island,65 and older,Hispanic,50 to 85 percent,Landline,1,0.7409,1.3619,0.597,1.3552
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.8102,0.8201,0.2091,0.8341
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Brooklyn,65 and older,Unknown,85 percent or higher,Landline,1,0.9264,0.9231,0.3546,0.9314
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.7955,1.0675,0.4698,1.0887
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.8459,0.9319,0.4299,0.942
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,Less than 50 percent,Landline,1,0.1466,1.637,6.3977,2.3772
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,Staten Island,18 to 34,Hispanic,50 to 85 percent,Landline,1,0.7168,1.0382,0.5122,1.1054
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.8783,0.7409,0.3776,0.7452
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Landline,1,0.9189,1.5285,0.6169,1.5061
Rep,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.7496,0.9342,0.3106,0.9615
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.97,0.6485,0.2132,0.6455
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9548,0.7759,0.3281,0.7732
Dem,50 to 64,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Staten Island,50 to 64,White,Less than 50 percent,Cell,0.4444,0.4669,1.688,1.9863,1.5341
Dem,18 to 34,Bachelors' degree,Other,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,18 to 34,Other Non-White,Less than 50 percent,Landline,1,0.4125,1.1067,1.2862,1.2711
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Brooklyn,65 and older,White,50 to 85 percent,Landline,1,0.7852,0.6933,0.2676,0.687
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Landline,1,0.9133,0.9207,0.2735,0.9216
Rep,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",Staten Island,18 to 34,White,Less than 50 percent,Cell,0.6667,0.2548,0.6599,0.9983,0.6185
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",Brooklyn,35 to 49,White,Less than 50 percent,Cell,0.7778,0.0799,0.8805,2.9025,0.7378
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",Staten Island,35 to 49,White,Less than 50 percent,Cell,0.6667,0.3,0.9253,2.1008,0.6717
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.7008,0.9342,0.3322,0.9721
Und,50 to 64,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Other Non-White,Less than 50 percent,Cell,1,0.4632,0.9644,0.9073,1.0822
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.8294,0.9633,0.2713,0.9764
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,50 to 64,White,50 to 85 percent,Landline,1,0.6615,1.0241,0.48,1.076
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,35 to 49,White,50 to 85 percent,Landline,0.8889,0.6421,0.9733,0.4809,1.0045
Rep,50 to 64,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Other Non-White,50 to 85 percent,Landline,1,0.7212,1.3416,0.4957,1.3895
Dem,18 to 34,Bachelors' degree,Other,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Staten Island,18 to 34,Other Non-White,Less than 50 percent,Landline,1,0.3344,1.1067,1.5864,1.2134
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,35 to 49,White,50 to 85 percent,Cell,1,0.6907,0.9439,0.4629,0.9845
Rep,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Brooklyn,35 to 49,White,50 to 85 percent,Cell,1,0.6165,0.9576,0.5019,1.0185
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Landline,1,0.9547,0.7805,0.3217,0.7778
Dem,65 and older,Some college or trade school,Hispanic,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,65 and older,Hispanic,85 percent or higher,Landline,1,0.9286,0.9912,0.4875,0.9903
Und,35 to 49,Some college or trade school,White,Female,Hispanic,Don't know,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Very likely,or as a member of another political party,Nonwhite,Staten Island,35 to 49,White,Less than 50 percent,Cell,0.7778,0.4247,0.817,1.0566,0.7876
Rep,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Democrat,Nonwhite,Staten Island,18 to 34,Hispanic,Less than 50 percent,Cell,0.6667,0.0375,0.7865,2.1371000000000002,0.9306
Dem,18 to 34,Bachelors' degree,Black,Female,Black,Don't know,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.1918,1.1067,2.7645,1.5069
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Postgraduate Degree,Republican,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",Staten Island,18 to 34,White,Less than 50 percent,Cell,0,0.2177,0.9323,1.5185,0.2092
Rep,50 to 64,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Other Non-White,85 percent or higher,Cell,0.8889,0.9325,0.981,0.3151,0.959
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.6538,1.0675,0.5714,1.0738
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,Less than 50 percent,Cell,1,0.45,0.9782,0.7631,1.0277
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Disapp.,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,Nonwhite,Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9092,0.7067,0.3112,0.7078
3,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.6319,0.9374,0.5638,0.9927
Rep,35 to 49,[DO NOT READ] Refused,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,Brooklyn,35 to 49,Unknown,50 to 85 percent,Cell,1,0.6554,1.1434,0.5394,1.15
Dem,65 and older,Bachelors' degree,Black,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Staten Island,65 and older,Other Non-White,Less than 50 percent,Cell,1,0.4048,0.9587,1.059,1.1054
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Brooklyn,50 to 64,White,85 percent or higher,Cell,1,0.9668,0.678,0.2489,0.6697
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Cell,1,0.922,0.7002,0.2047,0.7001
Und,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Brooklyn,65 and older,White,85 percent or higher,Cell,1,0.9577,0.7161,0.2343,0.7135
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,18 to 34,White,50 to 85 percent,Landline,1,0.7118,0.6499,0.2344,0.6745
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Staten Island,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.927,0.9234,0.3467,0.91
Dem,50 to 64,High school,Other,Male,Asian,Approve,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Brooklyn,50 to 64,Other Non-White,50 to 85 percent,Cell,1,0.6318,1.7048,1.4708,1.7209
Dem,65 and older,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,65 and older,White,50 to 85 percent,Landline,0.7778,0.812,0.9609,0.4325,0.9492
3,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Don't know,Don't know,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Staten Island,50 to 64,Unknown,50 to 85 percent,Cell,1,0.8245,0.9056,0.2911,0.8949
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.7836,0.9287,0.3031,0.9494
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,65 and older,Unknown,50 to 85 percent,Cell,1,0.7788,1.9131,1.3215,1.9574
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,Less than 50 percent,Cell,1,0.058,0.9464,3.7012,1.9927
Dem,18 to 34,Bachelors' degree,Other,Male,White,Disapp.,Reps. keep House,Favorable,Don't know,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Brooklyn,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.1919,0.994,3.1364,1.1962
