response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedd,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Graduate or Professional Degree,Black,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Don't know,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,"Dallas, Clinton",50 to 85 percent,Landline,1,0.8363,0.4491,0.2395,0.457
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9684,0.6594,0.3499,0.6598
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Don't know,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9719,0.6646,0.2366,0.6602
Und,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.8772,0.9557,0.5455,0.9663
Dem,65 and older,Bachelors' degree,Black,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,1,0.9805,0.5623,0.3161,0.5625
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Oppose,Support,agree,Ted Cruz,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,"Dallas, Clinton",50 to 85 percent,Cell,0.8889,0.6846,1.8245,1.5473,1.8766
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",50 to 85 percent,Landline,0.4444,0.8465,1.4804,0.7512,0.9912
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Don't know,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9932,0.9552,0.4172,0.9533
Dem,50 to 64,Bachelors' degree,Black,Female,[DO NOT READ] Don't know/Refused,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,45 to 64,4-year College Grad.,Other Non-White,"Rest, Clinton",85 percent or higher,Landline,1,0.8739,0.4664,0.3227,0.4622
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9628,0.8084,0.3777,0.8092
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Support,Support,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,45 to 64,Postgraduate Degree,Hispanic,"Rest, Clinton",50 to 85 percent,Cell,1,0.6972,0.3826,0.19,0.4005
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 44,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9691,1.1322,0.4418,1.1329
Rep,35 to 49,Some college or trade school,White,Male,White,Don't know,Approve,Don't know,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,0.6667,0.9624,2.1037,1.6088,1.9874
Rep,50 to 64,Graduate or Professional Degree,Other,Male,Other,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,45 to 64,Postgraduate Degree,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.8505,0.6799,0.5951,0.6902
Rep,50 to 64,Graduate or Professional Degree,Other,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,Other Non-White,"Rest, Trump",50 to 85 percent,Cell,0.6667,0.7566,0.6343,0.4833,0.5309
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Don't know,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",50 to 85 percent,Cell,1,0.5607,1.1713,0.748,1.2036
Dem,35 to 49,Grade school,White,Female,White,support,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,agree,Beto O'Rourke,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,0.8889,0.961,2.2396,1.3814,2.2323
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Don't know,Support,agree,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.9749,1.5201,0.8561,1.5206
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,support,Disapp.,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,Unknown,"Dallas, Trump",85 percent or higher,Cell,0.8889,0.9799,0.5324,0.3644,0.5311
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Don't know,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9631,1.1222,0.5745,1.1233
Rep,50 to 64,Some college or trade school,White,Female,White,oppose,Approve,Reps. keep House,Favorable,Favorable,Don't know,Oppose,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Dallas, Trump",50 to 85 percent,Cell,0.7778,0.7946,1.5166,1.2604,1.5076
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Don't know,Don't know,Favorable,Oppose,Support,Don't know,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,0.8889,0.9847,0.7451,0.3076,0.7435
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9825,1.368,0.9364,1.3613
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9185,0.7327,0.3349,0.7366
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9934,1.805,1.0226,1.8062
Und,65 and older,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Don't know,Approve,Don't know,Favorable,Favorable,Support,Oppose,Don't know,disagree,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,Unknown,"Rest, Trump",85 percent or higher,Landline,1,0.893,0.4485,0.223,0.4259
Und,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Oppose,Don't know,Don't know,agree,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 44,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9657,1.5946,1.0048,1.5959
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.9927,1.2027,0.5598,1.2035
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9045,1.172,0.8012,1.1607
Dem,65 and older,Some college or trade school,Black,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Don't know,Support,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,"Rest, Trump",85 percent or higher,Landline,0.7778,0.8606,0.8671,0.6892,0.8348
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,disagree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9869,0.9444,0.402,0.9446
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9936,0.7617,0.3537,0.7622
Dem,65 and older,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,"Dallas, Clinton",85 percent or higher,Landline,1,0.9957,0.7129,0.5799,0.7137
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.8671,1.0786,0.7184,1.0922
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9953,0.7703,0.3715,0.771
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.9854,0.702,0.2967,0.7022
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9571,0.9444,0.4141,0.9457
Und,65 and older,Graduate or Professional Degree,White,Male,White,support,Don't know,Don't know,Don't know,Favorable,Oppose,Support,Support,agree,Don't know,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,0.8889,0.9853,0.8983,0.3361,0.8919
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 44,4-year College Grad.,Unknown,"Dallas, Clinton",85 percent or higher,Cell,0.8889,0.8862,0.7962,0.6483,0.7964
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Support,disagree,Ted Cruz,30 to 44,Postgraduate Degree,Other,Female,Somewhat likely,Republican,"White, 4-Year College Grads",18 to 44,Postgraduate Degree,Unknown,"Rest, Trump",Less than 50 percent,Cell,0.5556,0.4529,1.0726,1.3863,0.7546
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Asian,support,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,4-year College Grad.,Hispanic,"Rest, Clinton",85 percent or higher,Cell,1,0.8882,0.8951,0.5283,0.9036
Rep,65 and older,Bachelors' degree,Asian,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Don't know,Don't know,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,"Rest, Trump",85 percent or higher,Landline,1,0.9491,0.8949,0.6535,0.8872
Dem,65 and older,Some college or trade school,White,Male,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9965,1.2252,0.6424,1.2266
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.991,1.1222,0.5587,1.1227
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Don't know,disagree,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9776,1.645,0.8163,1.6454
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9809,1.0289,0.4652,1.0291
Dem,35 to 49,Bachelors' degree,Black,Male,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,45 to 64,4-year College Grad.,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,1,0.9618,0.4868,0.3109,0.4873
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.987,1.2644,0.6767,1.2647
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",Less than 50 percent,Landline,1,0.1797,1.1894,3.4302,1.4559
Dem,65 and older,Some college or trade school,White,Female,Black,support,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Don't know,disagree,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,45 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9863,0.8334,0.5137,0.83
Rep,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Democrat,Nonwhite,45 to 64,4-year College Grad.,Hispanic,"Dallas, Clinton",85 percent or higher,Cell,1,0.8949,0.7533,0.7098,0.7597
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9853,1.2644,0.6778,1.2647
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 44,Postgraduate Degree,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.783,1.3628,0.7986,1.3576
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,support,Approve,Dems. take House,Don't know,Favorable,Support,Oppose,Support,agree,Beto O'Rourke,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,18 to 44,Postgraduate Degree,Hispanic,"Rest, Trump",50 to 85 percent,Cell,1,0.614,1.0362,0.6925,1.1085
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,support,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,disagree,Ted Cruz,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,18 to 44,Postgraduate Degree,White,"Rest, Trump",Less than 50 percent,Cell,1,0.1482,1.647,4.4665,2.3977
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9459,1.0048,0.6091,1.0072
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9418,0.6705,0.3527,0.6724
Rep,65 and older,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9862,1.5866,0.895,1.587
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,18 to 29,Postgraduate Degree,Other,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",18 to 44,Postgraduate Degree,White,"Dallas, Clinton",Less than 50 percent,Cell,1,0.1321,1.4201,4.6585,1.8412
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9935,0.6646,0.2317,0.6651
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Dems. take House,Don't know,Favorable,Support,Support,Support,agree,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9837,0.8601,0.5372,0.8603
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.986,0.8983,0.3358,0.8946
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",50 to 85 percent,Cell,1,0.5972,0.9308,0.6072,1.0007
Dem,35 to 49,Some college or trade school,Black,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,Other Non-White,"Rest, Trump",Less than 50 percent,Cell,1,0.4941,2.1645,4.1701,2.4106
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9588,0.6705,0.3467,0.6714
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",50 to 85 percent,Landline,1,0.7091,1.4804,0.8939,1.5452
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,Oppose,disagree,Beto O'Rourke,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,0.8889,0.9092,1.7169,0.9267,1.6832
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,Unknown,"Dallas, Clinton",85 percent or higher,Cell,1,0.9951,0.3348,0.2027,0.3351
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.9622,1.1523,0.5461,1.1434
Rep,65 and older,Some college or trade school,White,Female,Hispanic,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9736,1.5981,1.0321,1.5879
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",50 to 85 percent,Landline,1,0.6595,1.3861,1.0418,1.4644
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9178,0.7451,0.3289,0.7492
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Don't know,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9668,0.9557,0.4964,0.9564
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9948,0.9444,0.399,0.9452
