response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,High school,White,Female,Black,Disapp.,Dem.,Don't know,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Central/North Las Vegas,Less than 50 percent,Cell,1,0.3263,1.0378,2.0528,1.2536
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Washoe/Carson City,50 to 85 percent,Landline,1,0.6272,1.3227,1.1288,1.4042
Und,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Landline,1,0.9758,0.6927,0.2491,0.6902
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9269,0.9591,0.5496,0.9595
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,50 to 85 percent,Landline,1,0.5278,1.1524,1.0871,1.2625
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9554,0.722,0.4299,0.7132
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Landline,1,0.515,1.131,1.0305,1.1693
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Lib./Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Landline,0.7778,0.727,1.2149,0.9278,1.1548
Dem,65 and older,Some college or trade school,Unknown,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Favorable,Dem.,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,No 4-year College Degree,Unknown,Central/North Las Vegas,85 percent or higher,Landline,1,0.9886,1.0121,0.4893,1.0085
Rep,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dem.,Don't know,Dem.,Don't know,18 to 29,Some College Educ.,Other,Female,Not at all likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,0.4444,0.2004,1.0604,4.1945,0.3803
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Don't know,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9961,0.6904,0.3069,0.6884
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Landline,1,0.3032,1.0158,1.4941,1.2469
Rep,35 to 49,Some college or trade school,White,Male,Other,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.8864,1.0943,0.6919,1.1006
Rep,65 and older,Some college or trade school,White,Male,Other,Don't know,Lib./Don't know,Unfavorable,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.873,0.9708,0.5655,0.9783
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9927,1.0168,0.4226,1.0134
Dem,18 to 34,High school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,1,0.2757,1.0894,2.9228,1.3658
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Rep.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.652,1.1524,0.88,1.2152
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Central/North Las Vegas,85 percent or higher,Landline,1,0.9545,0.949,0.6003,0.9468
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.6201,1.131,0.8559,1.2031
Rep,35 to 49,Bachelors' degree,Hispanic,Female,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Hispanic,Washoe/Carson City,50 to 85 percent,Cell,1,0.8182,1.1413,0.5419,1.1605
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9745,0.9766,0.5193,0.9732
Dem,65 and older,High school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9434,0.9806,0.464,0.968
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Approve,Rep.,Don't know,Rep.,Favorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,Rest,Less than 50 percent,Cell,0.8889,0.278,0.7927,1.9648,0.8444
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9962,0.8233,0.3548,0.8211
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest,85 percent or higher,Landline,1,0.9865,0.7551,0.3799,0.7524
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Landline,1,0.9945,0.808,0.3288,0.8055
Dem,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,or as a member of another political party,Nonwhite,40 to 64,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Landline,1,0.969,0.7951,0.3095,0.7925
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Lib./Don't know,Unfavorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.9935,1.0726,0.5401,1.0664
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Landline,1,0.87,0.6682,0.3733,0.6596
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Central/North Las Vegas,Less than 50 percent,Cell,1,0.3885,1.0804,1.8137,1.1598
Dem,65 and older,High school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9887,0.9806,0.4428,0.9771
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Lib./Don't know,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Landline,1,0.9664,0.9115,0.5636,0.9014
Und,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Unfavorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Landline,1,0.9812,0.9412,0.4803,0.9327
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Don't know,Rep.,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest of Clark,Less than 50 percent,Cell,0.8889,0.4912,0.7682,0.8185,0.826
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.9864,0.7746,0.3374,0.7685
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,Unknown,Rest,85 percent or higher,Landline,1,0.9947,0.7144,0.3155,0.7123
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.5645,0.9521,0.7528,1.0301
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dem.,Don't know,Dem.,Favorable,30 to 44,Some College Educ.,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,0.5556,0.4339,1.1106,1.646,0.7045
Dem,65 and older,Bachelors' degree,White,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Cell,1,0.4896,0.836,0.6535,0.9291
Rep,65 and older,High school,Hispanic,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Central/North Las Vegas,50 to 85 percent,Landline,0.4444,0.805,1.1978,0.6637,1.0601
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Washoe/Carson City,50 to 85 percent,Landline,1,0.7884,0.9333,0.4716,0.9542
Und,50 to 64,High school,White,Male,White,Approve,Rep.,Don't know,Rep.,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9747,1.0463,0.6896,1.0426
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9738,0.844,0.4266,0.841
Rep,65 and older,High school,Hispanic,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Rest of Clark,85 percent or higher,Landline,1,0.9762,1.009,0.3678,1.0053
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9955,0.8233,0.355,0.8209
Und,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Dem.,Don't know,Dem.,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest of Clark,Less than 50 percent,Landline,1,0.3798,0.701,0.7289,0.8199
Dem,50 to 64,Graduate or Professional Degree,Other,Male,Asian,Disapp.,Dem.,Don't know,Dem.,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Rest of Clark,Less than 50 percent,Cell,1,0.3322,0.9326,1.7082,1.1223
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Cell,1,0.4436,0.8625,1.0737,0.909
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Landline,1,0.9846,0.9722,0.467,0.9686
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Rep.,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.9861,0.9945,0.495,0.9908
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.5081,1.1041,1.0566,1.2183
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9937,0.9945,0.4912,0.9913
Dem,65 and older,Graduate or Professional Degree,White,Female,Other,Disapp.,Lib./Don't know,Favorable,Don't know,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.9692,0.6699,0.3113,0.6677
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Central/North Las Vegas,50 to 85 percent,Cell,1,0.6636,1.1425,0.908,1.2011
Dem,35 to 49,Some college or trade school,White,Female,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9589,1.079,0.5736,1.0762
Rep,18 to 34,High school,White,Female,White,Approve,Rep.,Favorable,Rep.,Unfavorable,18 to 29,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest,85 percent or higher,Cell,0.5556,0.8981,1.0708,0.8362,0.9372
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Central/North Las Vegas,50 to 85 percent,Cell,1,0.754,1.0347,0.7092,1.0294
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.9466,0.792,0.3022,0.7907
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Central/North Las Vegas,85 percent or higher,Cell,1,0.9587,0.9899,0.5871,0.9873
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9326,1.1489,0.6967,1.1487
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Lib./Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Cell,0.1111,0.9242,0.7352,0.4415,0.6465
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest of Clark,Less than 50 percent,Cell,1,0.3391,0.7713,1.0257,0.8449
Rep,50 to 64,High school,Hispanic,Male,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Washoe/Carson City,Less than 50 percent,Cell,0.8889,0.312,1.1679,2.0343,1.3591
Und,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Rep.,Don't know,Rep.,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,18 to 39,No 4-year College Degree,White,Washoe/Carson City,Less than 50 percent,Cell,1,0.3744,1.1371,2.3001,1.3339
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Lib./Don't know,Unfavorable,Rep.,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,50 to 85 percent,Cell,1,0.5563,1.0374,0.8929,1.0629
Dem,35 to 49,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,18 to 39,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.9745,0.8896,0.4436,0.8864
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.64,1.125,0.9068,1.1901
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9425,1.1008,0.667,1.0867
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,1,0.3019,1.088,1.967,1.3368
Dem,18 to 34,High school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,0.6667,0.3266,1.0444,2.5119,0.9649
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,Don't know,Rep.,Don't know,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,1,0.3656,1.0932,1.8116,1.184
Rep,65 and older,High school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9846,1.0004,0.5082,0.992
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9883,0.77,0.3508,0.7672
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest of Clark,Less than 50 percent,Cell,1,0.3998,0.7869,0.9942,0.9107
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Rest of Clark,50 to 85 percent,Cell,1,0.5336,1.2956,1.3147,1.3339
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,Hispanic,Rest of Clark,50 to 85 percent,Cell,1,0.7715,0.9797,0.4517,1.005
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Rest of Clark,85 percent or higher,Cell,1,0.9795,1.0859,0.5359,1.0819
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9961,0.9412,0.4731,0.9386
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.6327,1.2021,0.8907,1.2742
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Postgraduate Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.5867,0.8653,0.5765,0.9296
Und,50 to 64,High school,White,Male,White,Approve,Lib./Don't know,Unfavorable,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Central/North Las Vegas,Less than 50 percent,Cell,0.1111,0.0777,1.0825,4.3858,0.8268
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,50 to 85 percent,Cell,1,0.7424,1.0684,0.6232,1.1026
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,Rest of Clark,50 to 85 percent,Cell,1,0.537,1.0689,0.9066,1.1672
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Central/North Las Vegas,Less than 50 percent,Cell,1,0.4208,0.8096,0.8791,0.9272
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Lib./Don't know,Don't know,Dem.,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Cell,1,0.4801,0.8625,0.9922,0.9622
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Disapp.,Rep.,Unfavorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,Washoe/Carson City,50 to 85 percent,Cell,1,0.5271,1.3722,1.7191,1.5037
