response,ager,educ,file_race,gender,race_eth,approve,FLAMED4,SENC,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_noasian,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,No,Rep.,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,Southeast,50 to 85 percent,Cell,1,0.5192,0.536,0.4299,0.6102
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,No,Rep.,65 and older,Some College Educ.,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Central,50 to 85 percent,Cell,1,0.6727,1.2739,0.8559,1.3654
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Southwest,50 to 85 percent,Cell,0,0.5016,1.0009,1.1393,0.715
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,I-4,85 percent or higher,Landline,1,0.9973,0.9138,0.5207,0.9045
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Yes,Rep.,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,I-4,85 percent or higher,Landline,1,0.9713,1.4499,0.7887,1.4221
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Yes,Dem.,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,Unknown,I-4,Less than 50 percent,Cell,1,0.1277,1.6485,5.3526,2.4572
Dem,50 to 64,Some college or trade school,White,Male,Other,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,White,I-4,50 to 85 percent,Cell,1,0.6419,0.9338,0.7442,0.9788
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,No,Rep.,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Southeast,50 to 85 percent,Cell,1,0.5872,0.8024,0.7477,0.8101
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Don't know,45 to 64,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Central,50 to 85 percent,Cell,1,0.5403,0.4725,0.3981,0.5329
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Southeast,85 percent or higher,Cell,1,0.8778,0.8103,0.5149,0.8089
Rep,65 and older,High school,White,Male,White,Approve,No,Rep.,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Central,85 percent or higher,Landline,1,0.9942,2.1726,1.7671,2.1471
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,White,I-4,50 to 85 percent,Cell,1,0.8413,0.6665,0.4003,0.6805
Rep,35 to 49,High school,Black,Male,Black,Approve,Yes,Rep.,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,Nonwhite,35 to 49,Black,Southeast,50 to 85 percent,Cell,1,0.6445,1.4695,1.5302,1.5904
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,No,Rep.,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,North/Rural,Less than 50 percent,Cell,1,0.472,1.2028,1.4648,1.3346
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,No,Dem.,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Southeast,50 to 85 percent,Cell,1,0.7382,1.0956,0.7124,1.1503
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Yes,Rep.,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,I-4,85 percent or higher,Cell,1,0.9886,0.6432,0.2891,0.6353
Rep,50 to 64,Grade school,White,Male,White,Approve,Yes,Rep.,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Central,50 to 85 percent,Cell,1,0.7387,1.3631,1.4251,1.3957
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Central,50 to 85 percent,Landline,1,0.819,0.441,0.2133,0.4528
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,North/Rural,50 to 85 percent,Cell,1,0.8487,0.7189,0.4577,0.721
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,Hispanic,Southeast,85 percent or higher,Cell,1,0.9796,1.17,0.5405,1.1601
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,North/Rural,85 percent or higher,Cell,1,0.8738,1.0039,0.6122,1.0027
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Yes,Rep.,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Southeast,85 percent or higher,Cell,1,0.9679,0.7808,0.3853,0.7656
Rep,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,No,Rep.,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,I-4,85 percent or higher,Cell,1,0.9146,0.6795,0.3004,0.6821
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,No,Rep.,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 34,White,Central,85 percent or higher,Cell,1,0.9257,0.9469,0.7901,0.9261
Rep,65 and older,Some college or trade school,White,Female,White,Approve,No,Rep.,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Central,50 to 85 percent,Cell,1,0.636,0.967,0.8009,1.0497
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Yes,Don't know,45 to 64,4-year College Grad.,Republican,Female,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",50 to 64,White,Central,85 percent or higher,Cell,1,0.8791,0.8131,0.5792,0.8227
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Male,Already voted,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,North/Rural,50 to 85 percent,Cell,1,0.5459,0.8444,0.7876,0.9498
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,North/Rural,Less than 50 percent,Cell,1,0.4451,1.073,1.3171,1.1205
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,No,Dem.,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Southeast,50 to 85 percent,Landline,1,0.7752,1.0956,0.6785,1.1382
Und,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Rep.,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Southwest,85 percent or higher,Cell,1,0.9585,0.8858,0.3944,0.8758
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Yes,Dem.,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Black,Southeast,50 to 85 percent,Cell,1,0.5261,0.6394,0.588,0.6948
Und,35 to 49,Some college or trade school,White,Male,Other,Approve,Yes,Don't know,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,White,North/Rural,Less than 50 percent,Cell,1,0.2203,1.0637,2.6655,1.3916
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,North/Rural,85 percent or higher,Landline,1,0.9844,0.7767,0.436,0.7696
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,I-4,Less than 50 percent,Cell,1,0.2083,1.2514,3.4107,1.473
Dem,65 and older,High school,White,Female,White,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,North/Rural,50 to 85 percent,Landline,1,0.7085,1.6676,1.5341,1.7191
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Don't know,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,North/Rural,85 percent or higher,Cell,1,0.9017,0.7925,0.3797,0.7978
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Southeast,50 to 85 percent,Cell,1,0.5679,1.1638,1.1419,1.2468
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Nonwhite,50 to 64,Black,Southeast,50 to 85 percent,Cell,1,0.5639,0.5315,0.4277,0.5933
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Yes,Dem.,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Hispanic,Central,50 to 85 percent,Cell,1,0.5685,0.3791,0.3013,0.406
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Yes,Rep.,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,North/Rural,85 percent or higher,Cell,1,0.8512,0.9344,0.6467,0.9366
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Yes,Dem.,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Unknown,Southeast,50 to 85 percent,Cell,1,0.7607,0.9057,0.539,0.9231
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Rep.,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Central,85 percent or higher,Landline,1,0.9448,0.8131,0.5389,0.8049
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Black,Southeast,Less than 50 percent,Landline,1,0.4727,0.9796,1.0277,1.0866
Rep,50 to 64,High school,White,Female,White,Approve,No,Rep.,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Southwest,50 to 85 percent,Landline,1,0.5618,1.997,2.63,2.1437
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Dem.,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Southwest,85 percent or higher,Landline,1,0.9654,0.7215,0.3308,0.7171
Rep,35 to 49,Bachelors' degree,White,Female,Black,Approve,No,Rep.,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,Nonwhite,35 to 49,White,Southwest,50 to 85 percent,Cell,1,0.7749,0.8851,0.6263,0.9196
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Dem.,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,White,North/Rural,Less than 50 percent,Cell,1,0.4608,0.539,0.4938,0.6318
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Don't know,Yes,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,50 to 64,Black,I-4,50 to 85 percent,Cell,1,0.7073,0.5412,0.3505,0.5581
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Southwest,85 percent or higher,Cell,1,0.9148,1.4362,0.8997,1.4417
Dem,18 to 34,High school,Black,Female,Black,Disapp.,Yes,Dem.,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,18 to 34,Black,North/Rural,50 to 85 percent,Cell,1,0.5539,1.5184,2.1576,1.3618
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Dem.,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",18 to 34,White,Southwest,50 to 85 percent,Cell,0.7778,0.5909,0.6938,0.596,0.6541
Und,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Dem.,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Black,North/Rural,50 to 85 percent,Cell,1,0.5047,0.9511,1.1017,1.0418
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Yes,Don't know,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,35 to 49,Black,North/Rural,50 to 85 percent,Cell,1,0.5231,0.418,0.3007,0.4276
Rep,65 and older,High school,Hispanic,Female,White,Approve,Yes,Dem.,65 and older,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Hispanic,I-4,Less than 50 percent,Landline,0,0.3121,2.0868,4.275,0.5104
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,No,Rep.,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Central,85 percent or higher,Landline,1,0.9964,1.2901,0.7538,1.277
Dem,35 to 49,Some college or trade school,Hispanic,Female,White,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",35 to 49,Hispanic,I-4,85 percent or higher,Landline,1,0.9717,0.9372,0.4554,0.9304
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Other,Disapp.,Don't know,Dem.,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Southeast,50 to 85 percent,Cell,1,0.7571,0.5216,0.2819,0.5319
Und,65 and older,High school,White,Female,White,Don't know,No,Rep.,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Southeast,50 to 85 percent,Landline,1,0.6289,2.3007,2.6194,2.0729
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Central,85 percent or higher,Landline,1,0.9036,1.2555,0.7948,1.2278
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,Other Non-White,Central,85 percent or higher,Landline,1,0.9948,0.6768,0.4197,0.67
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Yes,Rep.,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 34,White,North/Rural,Less than 50 percent,Cell,0.5556,0.4445,1.4129,2.231,0.9786
Rep,65 and older,High school,White,Male,White,Approve,Yes,Rep.,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Southeast,85 percent or higher,Landline,1,0.9909,2.7864,2.1664,2.7438
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Yes,Rep.,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Central,50 to 85 percent,Cell,1,0.5621,0.8094,0.8007,0.8688
Dem,50 to 64,Bachelors' degree,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,Black,Central,50 to 85 percent,Landline,1,0.6198,0.4565,0.3604,0.4815
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,Approve,No,Rep.,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown,Southeast,85 percent or higher,Cell,1,0.9592,1.0962,0.4218,1.0839
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Central,50 to 85 percent,Landline,1,0.7201,0.941,0.6764,0.9934
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Yes,Rep.,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,North/Rural,85 percent or higher,Cell,1,0.9415,0.5644,0.2751,0.5589
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Yes,Rep.,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Central,50 to 85 percent,Cell,1,0.565,0.429,0.3364,0.46
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Central,85 percent or higher,Landline,1,0.9928,0.954,0.5648,0.9426
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Yes,Rep.,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,White,Central,85 percent or higher,Landline,1,0.9911,1.1712,0.6697,1.157
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,Rep.,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Southwest,Less than 50 percent,Cell,1,0.4579,1.4706,1.6648,1.7264
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Yes,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Central,85 percent or higher,Cell,1,0.9036,1.2212,0.8649,1.2147
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Yes,Rep.,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,Southwest,50 to 85 percent,Cell,1,0.5289,0.8105,0.8097,0.9187
Dem,65 and older,High school,Black,Male,Hispanic,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,65 and older,Black,North/Rural,50 to 85 percent,Landline,1,0.6251,1.4916,1.4484,1.5707
Dem,50 to 64,Some college or trade school,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Yes,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Black,I-4,50 to 85 percent,Landline,1,0.5189,0.7188,0.6228,0.7831
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Black,North/Rural,50 to 85 percent,Landline,1,0.5557,0.6325,0.5005,0.6803
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Central,50 to 85 percent,Landline,1,0.699,0.7348,0.569,0.7592
Und,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Yes,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,65 and older,Black,Central,50 to 85 percent,Landline,1,0.6149,0.8417,0.6599,0.8889
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Southeast,50 to 85 percent,Landline,1,0.5075,1.2069,1.1727,1.3816
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Yes,Dem.,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,1,0.9923,0.8581,0.4907,0.8479
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,North/Rural,50 to 85 percent,Landline,1,0.6389,1.0931,0.73,1.1467
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Southeast,Less than 50 percent,Landline,1,0.4739,0.9582,1.1624,1.0624
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Don't know,Dem.,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Central,50 to 85 percent,Landline,1,0.8197,0.6892,0.4961,0.6945
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Landline,1,0.8952,0.7684,0.3614,0.7651
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,No,Rep.,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Landline,1,0.8953,0.991,0.5801,0.999
Rep,65 and older,High school,White,Female,White,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,North/Rural,50 to 85 percent,Landline,1,0.5147,1.837,2.3895,2.0957
Rep,65 and older,High school,White,Female,White,Approve,Yes,Rep.,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,I-4,50 to 85 percent,Landline,1,0.6352,1.9619,2.0702,2.0602
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Yes,Don't know,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Central,85 percent or higher,Landline,1,0.8985,1.2901,0.8359,1.2997
Rep,65 and older,Some college or trade school,White,Male,Other,Disapp.,Yes,Rep.,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,White,I-4,Less than 50 percent,Landline,1,0.3034,1.3322,2.2355,1.6209
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Landline,1,0.9578,0.6612,0.2743,0.6538
Rep,35 to 49,High school,White,Male,White,Approve,Yes,Rep.,30 to 44,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,White,Central,85 percent or higher,Landline,1,0.916,1.986,1.9204,1.993
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Yes,Rep.,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,Central,85 percent or higher,Landline,1,0.9269,0.8131,0.5493,0.8141
Dem,50 to 64,High school,Unknown,Female,Hispanic,Disapp.,Don't know,Dem.,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Unknown,Central,Less than 50 percent,Landline,1,0.4753,2.3622,3.555,2.4457
Dem,65 and older,High school,White,Male,White,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,North/Rural,85 percent or higher,Landline,1,0.9205,2.2248,1.741,2.2306
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,I-4,85 percent or higher,Landline,1,0.9946,0.8073,0.4412,0.7978
Rep,65 and older,High school,White,Female,White,Approve,No,Rep.,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,North/Rural,50 to 85 percent,Landline,1,0.5165,1.8877,2.4904,2.1518
Und,65 and older,High school,White,Female,White,Disapp.,No,Dem.,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Central,85 percent or higher,Landline,1,0.9929,2.3933,2.0022,2.3648
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,No,Dem.,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Southeast,85 percent or higher,Cell,1,0.8913,1.1823,0.6406,1.1779
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Yes,Rep.,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,Unknown,North/Rural,50 to 85 percent,Cell,1,0.6263,0.823,0.5713,0.8966
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Don't know,Rep.,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,1,0.9932,0.9453,0.5548,0.9358
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Yes,Rep.,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Southeast,85 percent or higher,Cell,1,0.9472,1.1082,0.7117,1.0968
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Yes,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Southeast,50 to 85 percent,Cell,1,0.6442,0.9171,0.7214,0.9607
Dem,65 and older,High school,Hispanic,Female,Asian,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,Hispanic,I-4,85 percent or higher,Landline,1,0.9847,1.9019,1.188,1.8697
Dem,50 to 64,Some college or trade school,White,Female,Hispanic,Disapp.,Don't know,Dem.,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,White,Southeast,50 to 85 percent,Cell,1,0.7116,1.0381,0.7728,1.0286
