response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,High school,White,Male,White,Approve,Don't know,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Landline,1,0.5125,1.3401,1.123,1.4806
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,Less than 50 percent,Landline,0.5556,0.3327,1.4274,3.4139,0.9638
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,18 to 39,White,50 to 85 percent,Cell,1,0.8383,1.0818,0.5699,1.0994
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,0.7373,0.2181,0.7372
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.6745,0.2633,0.6744
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.965,0.6003,0.1664,0.6002
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.965,0.6271,0.2593,0.627
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,Less than 50 percent,Landline,0,0.1133,0.93,3.2171,0.1924
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Cell,1,0.843,0.8172,0.3122,0.8298
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.965,0.5516,0.205,0.5515
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,18 to 39,White,85 percent or higher,Cell,1,0.8695,1.151,0.8055,1.1395
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Landline,0.7778,0.8901,0.7259,0.3554,0.7007
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.9565,0.8361,0.4052,0.8284
Rep,50 to 64,Bachelors' degree,Unknown,Female,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,Coal Country,40 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.965,1.0495,0.7131,1.0407
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.965,1.4244,0.8177,1.4124
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Mr. Ojeda's District,18 to 39,White,50 to 85 percent,Cell,1,0.7802,0.896,0.4273,0.8919
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9448,0.7838,0.3788,0.7849
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,50 to 85 percent,Cell,1,0.7148,0.8988,0.4416,0.936
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.9123,1.1379,0.6828,1.1437
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.7866,0.3107,0.7864
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,Less than 50 percent,Cell,1,0.3992,1.29,2.4992,1.4977
Dem,35 to 49,Bachelors' degree,White,Male,White,Approve,Don't know,Favorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.9132,0.8672,0.4448,0.858
Dem,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,18 to 39,White,Less than 50 percent,Cell,1,0.4794,1.2733,2.3333,1.3323
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9649,0.4273,0.1315,0.4272
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.9562,0.6477,0.2561,0.648
Und,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Dems. take House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Coal Country,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.9543,0.5902,0.9462
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,50 to 85 percent,Cell,0.7778,0.6171,1.6308,1.2871,1.6535
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.908,1.4186,0.8778,1.4267
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,18 to 39,White,85 percent or higher,Cell,1,0.9226,1.4356,1.1535,1.4412
Rep,50 to 64,High school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Huntington/West,40 to 64,White,85 percent or higher,Landline,1,0.8596,1.259,0.8238,1.2751
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Cell,1,0.9528,1.1799,0.6334,1.1808
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Landline,1,0.965,0.6078,0.2346,0.6078
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Don't know,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Landline,1,0.9365,0.7472,0.2773,0.749
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.965,0.6492,0.2853,0.6491
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.965,0.6653,0.2868,0.6652
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,18 to 39,White,85 percent or higher,Cell,0.7778,0.8931,1.3867,1.0791,1.3393
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,White,Less than 50 percent,Landline,1,0.3782,1.0234,1.8427,1.1062
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,50 to 85 percent,Cell,1,0.8342,1.4739,0.8391,1.4616
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Landline,1,0.5143,0.844,0.4938,0.9318
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Landline,0.8889,0.9605,1.0769,0.5042,1.0613
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9384,1.332,0.6877,1.3349
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Landline,1,0.9649,0.7184,0.3237,0.7183
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,65 and older,White,50 to 85 percent,Landline,1,0.6249,0.647,0.2926,0.6893
Dem,50 to 64,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9494,1.1379,0.6566,1.1391
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,18 to 39,White,Less than 50 percent,Cell,0.5556,0.2808,1.5334,4.6189,1.3322
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Mr. Ojeda's District,18 to 39,White,Less than 50 percent,Landline,0.7778,0.1619,1.4656,6.4882,1.8175
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,Less than 50 percent,Landline,1,0.0793,0.7018,2.0633,1.0041
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,1.2367,0.6668,1.2365
Dem,35 to 49,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Mr. Ojeda's District,40 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.9599,0.9618,0.5687,0.962
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.9296,0.631,0.39,0.6329
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,0.76,0.2952,0.7599
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,50 to 85 percent,Cell,1,0.8459,1.4087,0.6731,1.4297
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,1.1034,0.5123,1.1033
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Landline,1,0.7954,1.649,0.7405,1.6395
Rep,65 and older,Grade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,50 to 85 percent,Landline,1,0.6958,1.7792,1.3144,1.8611
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Cell,1,0.965,0.5258,0.1337,0.5257
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,0.8889,0.8957,1.4739,0.8191,1.4718
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.5708,0.1914,0.5707
Und,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.9377,0.5812,0.1745,0.5825
Und,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Coal Country,40 to 64,White,50 to 85 percent,Landline,1,0.8415,0.9495,0.4416,0.9644
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Landline,0.7778,0.6783,1.3401,0.8511,1.2765
Dem,65 and older,High school,White,Male,Hispanic,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9405,1.0684,0.5369,1.0577
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.8935,1.1799,0.6747,1.189
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,85 percent or higher,Landline,1,0.9513,1.2072,0.7269,1.2083
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,0.7109,0.274,0.7108
Dem,65 and older,Some college or trade school,Unknown,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,65 and older,Unknown/Non-White,85 percent or higher,Cell,1,0.9565,0.9218,0.5399,0.9222
Und,50 to 64,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,Huntington/West,40 to 64,White,50 to 85 percent,Cell,1,0.6161,1.0429,0.7331,1.0597
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.9583,0.8655,0.4458,0.8658
Dem,35 to 49,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,18 to 39,White,85 percent or higher,Landline,1,0.9604,2.353,2.0841,2.3534
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,18 to 39,White,50 to 85 percent,Cell,1,0.7859,1.7427,1.3408,1.7339
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,Coal Country,65 and older,Unknown/Non-White,50 to 85 percent,Landline,1,0.7263,1.7376,1.5749,1.5995
Rep,35 to 49,Grade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Cell,1,0.965,1.4002,0.6577,1.4
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.965,0.787,0.3672,0.7868
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Landline,1,0.5889,0.9111,0.446,0.9302
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,Less than 50 percent,Landline,1,0.4395,0.7677,1.0123,0.874
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,White,85 percent or higher,Cell,1,0.92,0.8381,0.474,0.8292
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,50 to 85 percent,Cell,1,0.698,0.5895,0.2438,0.6163
Rep,35 to 49,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,18 to 39,White,85 percent or higher,Cell,1,0.944,2.1567,1.8424,2.1601
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.8656,1.1379,0.7191,1.1513
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9536,1.4244,0.8273,1.4254
Dem,50 to 64,Bachelors' degree,White,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Very likely,or as a member of another political party,Nonwhite,Nonwhite,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.9009,0.7184,0.3459,0.7108
Rep,65 and older,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,Less than 50 percent,Landline,1,0.4365,0.8359,0.7528,0.953
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9057,0.7818,0.3506,0.7865
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.965,0.5673,0.2028,0.5673
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,Less than 50 percent,Landline,0.4444,0.44,0.9178,1.4309,0.7477
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.965,0.8956,0.4125,0.8955
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.965,0.47,0.1571,0.466
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,0.8889,0.9647,1.1822,0.5954,1.1773
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.965,0.47,0.1571,0.4699
Rep,65 and older,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,Unknown/Non-White,50 to 85 percent,Landline,1,0.5669,2.0705,2.097,2.2448
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.965,0.7016,0.2195,0.7015
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,18 to 39,White,85 percent or higher,Cell,1,0.936,0.7795,0.3921,0.7814
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,50 to 85 percent,Cell,1,0.7756,1.3684,0.8986,1.3627
