response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Ocean,50 to 85 percent,Cell,1,0.7574,0.7358,0.653,0.76
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.918,1.2448,1.0188,1.2329
Und,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Cell,0,0.6775,2.1408,1.5126,0.8235
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Don't know,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Ocean,50 to 85 percent,Cell,1,0.8251,0.7678,0.5666,0.7828
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,"Burlington, Clinton",50 to 85 percent,Landline,1,0.6126,1.3465,0.9534,1.3704
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.7944,1.4478,0.8742,1.441
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Don't know,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.5434,0.8226,0.5506,0.8484
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,35 to 49,White,Ocean,50 to 85 percent,Cell,1,0.7387,0.7358,0.6695,0.7361
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,Less than 50 percent,Cell,1,0.1867,0.6952,2.0304,0.9575
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",Less than 50 percent,Landline,0.5556,0.1184,1.2784,4.165,1.4151
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Landline,1,0.7497,1.2498,0.5221,1.293
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Ocean,50 to 85 percent,Cell,1,0.6806,0.833,0.6176,0.8755
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Other Non-White,Ocean,Less than 50 percent,Cell,0.7778,0.2277,0.7778,2.4798,0.9089
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.97,1.6741,1.3106,1.6626
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.7983,0.7611,0.4783,0.7573
Dem,50 to 64,Some college or trade school,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Other Non-White,Ocean,50 to 85 percent,Cell,1,0.7403,0.9391,0.7833,0.9393
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9678,1.0395,0.4726,1.0403
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9627,0.6428,0.2083,0.6379
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,65 and older,White,"Burlington, Clinton",Less than 50 percent,Landline,1,0.471,1.4065,1.3792,1.6606
Rep,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.8666,1.0126,0.9052,1.0254
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.4403,0.5738,0.5235,0.6078
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",50 to 85 percent,Landline,1,0.563,0.9805,0.7707,1.0655
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.7531,0.776,0.3531,0.8022
3,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.3799,0.4825,0.5865,0.5666
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.5519,0.915,0.6769,0.942
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.6862,2.2822,1.9727,2.3952
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.8972,1.2784,0.771,1.2889
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.7737,2.0696,1.2002,2.1305
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",Less than 50 percent,Cell,0.6667,0.4277,1.7772,2.2884,1.6318
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.97,0.643,0.3545,0.6434
Rep,35 to 49,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,Unknown,Ocean,50 to 85 percent,Cell,1,0.7959,1.5595,1.8631,1.5985
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Not very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Unknown,"Burlington, Clinton",50 to 85 percent,Cell,0.4444,0.5309,1.2972,1.1905,0.7335
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Ocean,Less than 50 percent,Landline,1,0.3092,0.787,1.0421,0.9657
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",Less than 50 percent,Landline,1,0.4947,1.0227,0.837,1.193
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.9588,0.8723,0.597,0.879
Dem,18 to 34,Bachelors' degree,Black,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.8953,0.8401,0.4666,0.8321
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.8538,0.8873,0.333,0.88
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.7593,1.2047,0.8512,1.2437
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.3022,1.0411,1.9688,1.1657
Rep,35 to 49,Grade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Ocean,50 to 85 percent,Cell,1,0.8482,1.5954,1.4248,1.6203
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.8334,0.7476,0.3453,0.7612
Und,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Ocean,Less than 50 percent,Landline,0,0.3696,2.5105,5.2839,1.0843
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.6053,0.7358,0.5715,0.7892
Rep,50 to 64,Some college or trade school,Black,Male,Black,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.8941,0.7356,0.449,0.7286
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Ocean,Less than 50 percent,Cell,1,0.4225,0.9978,1.4896,1.1463
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Black,"Burlington, Clinton",50 to 85 percent,Landline,1,0.5039,1.6179,1.4605,1.7951
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.7392,0.6989,0.3921,0.7246
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9606,1.2765,0.8776,1.278
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.7327,0.5295,0.3003,0.5498
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Asian,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Other Non-White,"Burlington, Clinton",50 to 85 percent,Landline,0.6667,0.8145,1.4632,0.9541,1.3729
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.2301,1.301,4.0595,1.7064
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.4079,0.8723,1.812,1.0093
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.3243,0.5752,0.9963,0.6985
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Ocean,Less than 50 percent,Cell,1,0.4665,0.8883,0.8811,1.0005
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.97,2.3719,1.435,2.3733
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.97,0.9647,0.6241,0.9653
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Cell,1,0.9392,0.9448,0.4683,0.9477
Dem,50 to 64,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Unknown,Ocean,50 to 85 percent,Cell,1,0.6537,2.0451,2.3925,1.8699
Dem,65 and older,High school,White,Male,White,Approve,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.8182,2.0696,1.1348,1.9336
Rep,18 to 34,High school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Ocean,Less than 50 percent,Landline,0.6667,0.2989,1.6209,5.0132,1.5108
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Ocean,50 to 85 percent,Landline,1,0.6254,1.5595,1.4693,1.5838
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Already voted,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9109,1.3306,1.0718,1.3538
Dem,65 and older,Bachelors' degree,White,Male,White,Approve,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.8918,1.2017,0.4536,1.2125
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.9553,0.4386,0.1737,0.4393
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,85 percent or higher,Landline,1,0.97,1.1723,0.8376,1.173
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Ocean,85 percent or higher,Cell,1,0.97,0.5831,0.3477,0.5864
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.3719,0.9263,1.2788,1.0925
Dem,35 to 49,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.6365,0.7266,0.5531,0.7724
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.8541,1.2652,0.8083,1.2838
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.97,0.4776,0.1775,0.4743
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.5196,1.0507,1.0417,0.897
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.857,2.6156,2.3677,2.6527
Dem,18 to 34,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.3397,0.6779,1.238,0.7453
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9483,2.23,1.5582,2.2106
3,35 to 49,Some college or trade school,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,Unknown,"Burlington, Clinton",50 to 85 percent,Cell,1,0.7105,0.9635,1.0117,1.0054
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.6753,0.4956,0.2516,0.5215
3,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ocean,Less than 50 percent,Cell,0,0.1182,0.7162,1.7639,0.1488
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9354,0.5692,0.267,0.5712
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Unknown,"Burlington, Trump",85 percent or higher,Cell,1,0.97,0.4733,0.2346,0.4701
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ocean,50 to 85 percent,Landline,1,0.8289,0.7841,0.3215,0.7989
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Landline,1,0.6437,0.776,0.4131,0.8234
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Not at all likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Ocean,Less than 50 percent,Landline,0,0.1009,1.7359,5.9234,0.357
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9602,0.7829,0.5834,0.7768
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Ocean,Less than 50 percent,Cell,1,0.414,0.7162,0.6391,0.8261
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.8811,0.6923,0.608,0.6996
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Cell,1,0.97,0.6214,0.1873,0.6218
3,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9301,0.9448,0.473,0.9487
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.97,1.0395,0.4715,1.0402
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.7627,0.9071,0.5719,0.9359
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,"Burlington, Clinton",85 percent or higher,Cell,1,0.97,1.4451,0.5842,1.446
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.97,1.2784,0.7131,1.2857
