response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,35 to 49,High school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Madison,35 to 49,White,Less than 50 percent,Cell,0.4444,0.0576,1.0294,6.4644,0.9265
Und,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,85 percent or higher,Cell,1,0.8976,1.6377,1.2234,1.6656
Und,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,St. Clair,35 to 49,Unknown,Less than 50 percent,Cell,0,0.3852,0.947,2.2609,0.3253
Und,18 to 34,Some college or trade school,White,Male,White,Don't know,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Madison,18 to 34,White,50 to 85 percent,Cell,1,0.5531,1.1861,1.1687,1.2316
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9412,1.381,0.7115,1.3973
Und,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Not very likely,Republican,Nonwhite,Nonwhite,Rest,18 to 34,Other Non-White,50 to 85 percent,Cell,0.4444,0.5749,0.7582,0.6563,0.4467
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Madison,35 to 49,White,85 percent or higher,Cell,1,0.97,0.8464,0.6351,0.8544
Rep,18 to 34,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,St. Clair,18 to 34,White,50 to 85 percent,Cell,1,0.7193,1.5344,1.378,1.6121
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,1.0134,0.5051,1.0154
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,Less than 50 percent,Cell,1,0.4389,1.303,1.6628,1.4985
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.8808,0.7617,0.3075,0.7871
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Madison,50 to 64,Black,85 percent or higher,Cell,1,0.9575,0.6178,0.2189,0.6182
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,White,50 to 85 percent,Cell,1,0.842,1.9598,1.3863,1.9618
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,30 to 44,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6151,0.9407,0.5393,1.0513
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.9134,0.9552,0.3564,0.9041
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,35 to 49,Other Non-White,85 percent or higher,Cell,1,0.9139,0.6834,0.4781,0.6935
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Madison,18 to 34,White,50 to 85 percent,Cell,1,0.6098,0.8852,0.5796,0.9565
Dem,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Madison,18 to 34,White,Less than 50 percent,Cell,0.7778,0.2162,1.1721,5.1106,1.2183
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Not at all likely,Democrat,"White, 4-Year College Grads",White,Rest,18 to 34,White,50 to 85 percent,Cell,0.3333,0.6618,1.1993,0.6319,0.5955
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,White,Less than 50 percent,Cell,0.6667,0.2768,1.0407,3.1236,0.9833
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,1.6501,0.903,1.6741
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6559,0.95,0.5753,0.9687
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9326,1.0713,0.4972,1.0848
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,1.5609,0.9542,1.5756
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,Rest,35 to 49,White,85 percent or higher,Cell,0.6667,0.9342,1.0848,0.8246,1.0092
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9634,1.4735,0.8216,1.4753
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,50 to 85 percent,Cell,1,0.7293,0.7767,0.4451,0.8142
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,0.6592,0.2492,0.6654
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,65 and older,White,50 to 85 percent,Cell,0.8889,0.7707,1.2706,0.8967,1.2532
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,0.8889,0.97,0.853,0.3089,0.8579
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.97,0.9552,0.3356,0.9571
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,White,Less than 50 percent,Cell,1,0.0812,1.3948,7.6494,2.373
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Cell,0.6667,0.5514,1.2002,0.9945,0.9407
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Madison,18 to 34,White,Less than 50 percent,Cell,0.7778,0.3018,0.8583,2.1685,0.8617
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7257,0.8312,0.3072,0.872
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Unknown,85 percent or higher,Cell,1,0.97,0.877,0.3654,0.8853
Dem,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,18 to 34,Other Non-White,50 to 85 percent,Cell,1,0.8377,1.3874,1.3911,1.424
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,White,85 percent or higher,Cell,1,0.9621,1.166,0.7802,1.1776
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,Less than 50 percent,Cell,1,0.3991,1.3902,2.1615,1.5057
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,35 to 49,White,85 percent or higher,Cell,1,0.97,0.7071,0.4752,0.7138
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,1.3939,0.8622,1.4142
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,0.6919,0.2333,0.7019
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,White,Less than 50 percent,Cell,0.2222,0.3186,1.5881,4.1039,0.5041
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9366,0.8452,0.2562,0.8555
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Cell,1,0.738,1.7326,1.1873,1.8586
Rep,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.8968,1.5609,1.0321,1.5877
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.97,1.0241,0.6791,1.0338
Dem,18 to 34,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Not very likely,Democrat,Nonwhite,Nonwhite,Rest,18 to 34,White,Less than 50 percent,Cell,0.3333,0.2618,0.8679,1.6171,0.3736
Dem,35 to 49,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Madison,35 to 49,White,85 percent or higher,Cell,1,0.97,0.8947,0.601,0.9032
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,St. Clair,35 to 49,Black,50 to 85 percent,Cell,1,0.8376,1.1155,0.6493,1.1449
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,50 to 85 percent,Cell,1,0.6131,0.813,0.4404,0.8777
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Madison,35 to 49,White,85 percent or higher,Cell,1,0.9615,1.1534,0.8756,1.1649
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,St. Clair,50 to 64,White,Less than 50 percent,Landline,1,0.1654,0.7613,2.0486,1.089
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,St. Clair,35 to 49,White,85 percent or higher,Cell,1,0.9695,0.7919,0.5261,0.7994
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Madison,65 and older,White,85 percent or higher,Cell,0.8889,0.9032,1.0875,0.7406,1.0751
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.937,1.0134,0.523,1.0257
Dem,65 and older,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,1.048,1.0358,1.0501
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,St. Clair,35 to 49,Unknown,50 to 85 percent,Landline,1,0.8417,1.2354,0.8742,1.2886
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,85 percent or higher,Landline,1,0.97,0.6606,0.3023,0.6668
Rep,65 and older,High school,White,Male,White,Disapp.,Don't know,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,0.7778,0.879,1.3939,0.9515,1.3921
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Madison,50 to 64,Unknown,50 to 85 percent,Cell,1,0.6047,0.6347,0.2685,0.6869
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,50 to 85 percent,Cell,0.6667,0.8228,1.1799,0.5795,1.0269
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.934,0.6545,0.256,0.6685
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.6592,0.2492,0.6605
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,0.7995,0.2614,0.807
Dem,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.97,1.2108,0.6487,1.2223
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.8899,0.7406,0.3998,0.7541
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9638,0.6545,0.2481,0.6553
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,St. Clair,65 and older,Black,85 percent or higher,Cell,1,0.97,0.9549,0.4333,0.9688
Rep,18 to 34,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,White,85 percent or higher,Cell,1,0.97,1.5923,1.3067,1.6073
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.7382,0.2758,0.7489
Rep,50 to 64,Some college or trade school,Asian,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Rest,50 to 64,Other Non-White,50 to 85 percent,Cell,1,0.6294,0.7517,0.6294,0.8078
Dem,50 to 64,High school,White,Female,White,Approve,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Rest,50 to 64,White,Less than 50 percent,Landline,0.7778,0.1195,1.303,4.8658,1.4624
Rep,35 to 49,Grade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,30 to 44,High School Grad. or Less,Other,Male,Already voted,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,St. Clair,35 to 49,White,50 to 85 percent,Cell,1,0.5193,1.9648,3.0453,2.2852
Dem,18 to 34,Some college or trade school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 34,Black,85 percent or higher,Cell,1,0.8978,1.2233,1.0105,1.2441
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,Less than 50 percent,Cell,0,0.0999,0.7121,1.5755,0.1477
Rep,65 and older,[DO NOT READ] Refused,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,St. Clair,65 and older,Unknown,85 percent or higher,Cell,1,0.97,1.0251,1.0168,1.0348
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.8799,0.6919,0.2572,0.7054
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.8612,0.9567,0.4866,0.9931
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.7775,1.1279,0.8712,1.1705
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,Unknown,85 percent or higher,Cell,1,0.9331,0.9388,0.5972,0.9506
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Madison,50 to 64,White,85 percent or higher,Landline,1,0.97,1.2066,0.611,1.2242
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.944,0.905,0.469,0.9153
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9264,1.143,0.5917,1.1583
3,18 to 34,Some college or trade school,Black,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,Black,50 to 85 percent,Cell,1,0.5738,1.5057,1.4559,1.6449
Rep,65 and older,High school,White,Male,White,Approve,Don't know,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,1.6501,0.903,1.6656
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,0.9567,0.432,0.9657
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,1.463,0.8072,1.4658
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,85 percent or higher,Landline,1,0.9144,1.0229,0.6571,1.038
Dem,65 and older,High school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9614,1.546,0.995,1.5614
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Landline,0.5556,0.7327,1.639,1.2637,1.5753
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9266,1.143,0.5915,1.1582
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,1.0713,0.4781,1.0814
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,Other Non-White,85 percent or higher,Landline,1,0.97,0.4667,0.2488,0.4711
