response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.5061,0.7951,1.5297,2018-10-15 22:31:03
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Unknown,Clinton Precinct,85 percent or higher,Cell,1,0.8538,1.0231,0.6506,1.0296,2018-10-15 22:37:14
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9466,0.716,0.3737,0.7283,2018-10-15 22:40:14
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Landline,1,0.6891,1.2657,1.3703,1.2924,2018-10-15 22:40:50
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Non-White,Well-educ. Trump,Less than 50 percent,Cell,0.7778,0.2922,1.3576,3.9553,1.3752,2018-10-15 22:40:59
Rep,18 to 34,High school,White,Male,White,Don't know,Don't know,Don't know,Favorable,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Less-educ. Trump,Less than 50 percent,Cell,0.4444,0.3103,1.9583,7.3672,1.2206,2018-10-15 22:42:20
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,1.0716,0.54990000000000006,1.0885,2018-10-15 22:45:56
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Landline,0.8889,0.9197,0.9168,0.7086,0.913,2018-10-15 22:46:50
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,1.1678,0.6705,1.1861,2018-10-15 22:48:02
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,50 to 85 percent,Cell,0.4444,0.6767,1.3343,1.0103,0.9911,2018-10-15 22:48:38
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,1,0.6574,1.1501,1.0385,1.2339,2018-10-15 22:49:14
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.3676,0.825,1.3891,2018-10-15 22:49:23
Und,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,50 to 85 percent,Landline,1,0.6827,1.0268,1.1896,1.0945,2018-10-15 22:50:26
Dem,65 and older,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,65 and older,White,Kansas City,85 percent or higher,Landline,1,0.965,0.487,0.2668,0.4946,2018-10-15 22:51:38
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9257,1.1934,0.7358,1.2166,2018-10-15 22:51:56
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.8593,0.5152,0.8728,2018-10-15 22:52:41
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Non-White,Clinton Precinct,50 to 85 percent,Landline,1,0.8337,1.2965,1.3429,1.3061,2018-10-15 22:53:35
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Somewhat likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,0.4444,0.8572,0.7184,0.5068,0.6022,2018-10-15 22:53:53
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.2422,0.6784,1.2617,2018-10-15 22:55:23
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7646,0.7983,0.6365,0.8084,2018-10-15 22:56:17
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.5377,1.3343,1.2715,1.4841,2018-10-15 22:56:44
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Kansas City,85 percent or higher,Landline,1,0.965,0.62,0.3982,0.6297,2018-10-15 23:02:03
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.7015,0.8942,0.6889,0.9489,2018-10-15 23:03:42
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9507,0.7184,0.457,0.7358,2018-10-15 23:04:27
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9011,0.7496,0.4981,0.7756,2018-10-15 23:04:40
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Well-educ. Trump,85 percent or higher,Cell,1,0.965,0.7888,0.3952,0.8012,2018-10-15 23:05:03
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Clinton Precinct,85 percent or higher,Landline,1,0.965,1.3997,0.7445,1.4217,2018-10-15 23:05:03
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.6731,0.3623,0.6837,2018-10-15 23:05:12
3,50 to 64,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,Less than 50 percent,Cell,1,0.4056,1.4587,2.8348,1.7147,2018-10-15 23:05:43
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.9926,0.4907,1.0082,2018-10-15 23:09:15
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,1.0004,0.5878,1.0161,2018-10-15 23:10:54
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Non-White,Less-educ. Trump,50 to 85 percent,Cell,1,0.6214,1.1065,1.1104,1.1988,2018-10-15 23:13:27
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,50 to 85 percent,Landline,0,0.6541,1.2309,0.9138,0.4645,2018-10-15 23:13:27
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,1.0777,0.6789,1.0946,2018-10-15 23:14:07
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.6731,0.3623,0.6837,2018-10-15 23:14:12
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,0.6667,0.615,1.4964,1.3195,1.3958,2018-10-15 23:15:24
Dem,35 to 49,Grade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.9291,1.6434,1.651,1.6746,2018-10-15 23:16:30
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9483,0.8099,0.3578,0.8237,2018-10-15 23:19:30
3,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9619,0.8003,0.4768,0.8131,2018-10-15 23:19:30
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9116,1.0004,0.6222,1.0216,2018-10-15 23:22:12
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Kansas City,85 percent or higher,Cell,1,0.8862,1.4107,1.387,1.4455,2018-10-15 23:24:09
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.8161,0.4247,0.8289,2018-10-15 23:26:15
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.8001,0.5779,0.8059,2018-10-15 23:26:51
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,18 to 34,Non-White,Kansas City,Less than 50 percent,Cell,0.8889,0.2566,0.9088,3.5195,0.9968,2018-10-15 23:29:24
Rep,35 to 49,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,35 to 49,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.5303,1.0671,1.2677,1.1201,2018-10-15 23:30:09
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Unknown,Clinton Precinct,85 percent or higher,Cell,1,0.965,1.3143,0.6803,1.3349,2018-10-15 23:37:51
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,85 percent or higher,Cell,1,0.8566,0.5941,0.4557,0.6115,2018-10-15 23:43:06
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Non-White,Well-educ. Trump,85 percent or higher,Cell,0.7778,0.9535,0.9361,0.6599,0.9293,2018-10-15 23:45:30
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Kansas City,Less than 50 percent,Cell,0.8889,0.1536,1.2662,5.6596,1.7323,2018-10-16 00:31:43
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,1.0716,0.54990000000000006,1.0885,2018-10-16 00:31:52
Dem,65 and older,Some college or trade school,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Unknown,Kansas City,85 percent or higher,Cell,1,0.965,0.8967,0.5605,0.9108,2018-10-16 00:32:19
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,1.0928,0.5967,1.11,2018-10-16 00:33:22
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7674,1.7524,1.3013,1.833,2018-10-16 00:33:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.5708,0.3184,0.5797,2018-10-16 00:33:40
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Kansas City,50 to 85 percent,Cell,1,0.8022,1.0273,0.797,1.037,2018-10-16 00:33:49
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9229,0.9555,0.4844,0.9744,2018-10-16 00:33:49
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,1,0.5712,0.7225,0.7876,0.7946,2018-10-16 00:33:58
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Less-educ. Trump,50 to 85 percent,Cell,0.6667,0.6295,1.2998,1.5051,1.0516,2018-10-16 00:34:25
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,1,0.8689,0.6541,0.4133,0.6719,2018-10-16 00:34:25
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Landline,1,0.965,1.0413,0.5649,1.0576,2018-10-16 00:34:34
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.7169,0.464,0.7282,2018-10-16 00:35:55
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,1.2857,0.8154,1.2951,2018-10-16 00:36:04
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Not at all likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,50 to 85 percent,Landline,0,0.6351,0.8392,0.7672,0.3084,2018-10-16 00:36:13
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,0.8889,0.965,1.2694,0.7142,1.272,2018-10-16 00:37:16
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,0.9555,0.4633,0.9705,2018-10-16 00:37:52
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,85 percent or higher,Cell,1,0.9185,0.7524,0.4935,0.7562,2018-10-16 00:38:01
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,85 percent or higher,Cell,0.8889,0.9405,0.7636,0.5758,0.7726,2018-10-16 00:38:10
3,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.691,0.7944,0.6624,0.7398,2018-10-16 00:38:10
Dem,18 to 34,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Other,Male,Very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,18 to 34,White,Clinton Precinct,Less than 50 percent,Cell,1,0.4434,1.1824,1.854,1.2697,2018-10-16 00:38:28
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Kansas City,85 percent or higher,Cell,1,0.9642,0.6945,0.4373,0.7054,2018-10-16 00:38:37
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.9789,0.5583,0.9943,2018-10-16 00:39:13
Rep,50 to 64,Some college or trade school,White,Female,Asian,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6526,1.1435,1.0778,1.1736,2018-10-16 00:39:22
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Non-White,Well-educ. Trump,85 percent or higher,Cell,1,0.9542,1.2492,0.8334,1.2698,2018-10-16 00:39:31
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.0641,0.5947,1.0719,2018-10-16 00:39:58
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.965,0.5167,0.255,0.5248,2018-10-16 00:40:16
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,0.6071,0.3222,0.6167,2018-10-16 00:40:34
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7799,2.1536,2.5069,2.1778,2018-10-16 00:40:52
Rep,65 and older,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,1.0716,0.54990000000000006,1.0885,2018-10-16 00:41:10
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,1,0.8778,1.2422,0.7458,1.2744,2018-10-16 00:41:55
Dem,50 to 64,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.8842,0.9111,0.4959,0.916,2018-10-16 00:42:13
Dem,50 to 64,Some college or trade school,Black,Female,Other,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Kansas City,85 percent or higher,Cell,1,0.965,0.8283,0.7456,0.846,2018-10-16 00:42:40
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.857,0.5407,0.8633,2018-10-16 00:42:49
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,50 to 85 percent,Landline,0.7778,0.67490000000000006,0.9621,0.6535,0.931,2018-10-16 00:42:58
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.6079,0.3485,0.6174,2018-10-16 00:43:07
