response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Black,Charlottesville,50 to 85 percent,Cell,1,0.83,0.9972,0.4952,1.0296,2018-10-17 22:59:47
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,North,85 percent or higher,Landline,1,0.9291,0.8614,0.3509,0.8767,2018-10-17 22:59:47
Dem,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,South,Less than 50 percent,Cell,1,0.4981,1.0669,1.4446,1.1271,2018-10-17 23:01:10
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Charlottesville,50 to 85 percent,Cell,1,0.7683,0.7986,0.3872,0.8342,2018-10-17 23:02:11
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,Other Non-White,Charlottesville,50 to 85 percent,Landline,1,0.6508,1.2639,1.0882,1.3566,2018-10-17 23:02:31
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.965,0.965,0.5152,0.979,2018-10-17 23:02:58
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,White,Charlottesville,85 percent or higher,Landline,1,0.9018,0.8354,0.4442,0.8531,2018-10-17 23:04:10
Dem,65 and older,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Other Non-White,South,50 to 85 percent,Landline,1,0.5808,0.6225,0.418,0.6818,2018-10-17 23:04:28
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Landline,1,0.7975,0.9283,0.4561,0.9362,2018-10-17 23:06:34
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Landline,1,0.9334,0.9264,0.4325,0.9424,2018-10-17 23:06:43
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Landline,1,0.836,0.8036,0.3509,0.8288,2018-10-17 23:09:07
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,North,50 to 85 percent,Landline,1,0.5686,0.7252,0.5477,0.7973,2018-10-17 23:11:31
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,North,50 to 85 percent,Landline,1,0.5715,0.7252,0.545,0.7965,2018-10-17 23:12:08
Und,35 to 49,[DO NOT READ] Refused,Black,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,30 to 44,[DO NOT READ] Don't know/Refused,Other,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,Black,South,Less than 50 percent,Landline,0.5556,0.4903,0.853,1.4061,0.5658,2018-10-17 23:12:16
Dem,50 to 64,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,North,50 to 85 percent,Landline,1,0.5303,1.2739,1.508,1.4187,2018-10-17 23:12:52
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Landline,1,0.8711,0.7858,0.4398,0.7892,2018-10-17 23:13:19
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,North,85 percent or higher,Landline,1,0.9498,0.8614,0.3433,0.8749,2018-10-17 23:14:40
Und,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,South,50 to 85 percent,Landline,1,0.7269,0.8071,0.5515,0.8504,2018-10-17 23:16:47
Dem,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,Black,South,50 to 85 percent,Landline,1,0.7246,1.2287,0.97,1.2477,2018-10-17 23:16:47
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",18 to 39,Unknown,Charlottesville,Less than 50 percent,Landline,1,0.4615,1.2176,2.3569,1.4643,2018-10-17 23:17:32
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Landline,1,0.9536,0.8899,0.3972,0.9035,2018-10-17 23:18:00
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 39,Black,South,50 to 85 percent,Landline,0.6667,0.5043,1.1803,1.3062,0.9163,2018-10-17 23:18:27
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,Nonwhite,65 and older,White,South,50 to 85 percent,Landline,0.4444,0.5436,1.1214,1.1971,0.7747,2018-10-17 23:18:45
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Landline,1,0.8365,1.1214,0.7788,1.1565,2018-10-17 23:21:45
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Landline,1,0.903,0.7858,0.4243,0.8023,2018-10-17 23:22:39
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,North,Less than 50 percent,Landline,0.2222,0.2024,1.2287,4.2311,0.4568,2018-10-17 23:23:06
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,50 to 85 percent,Landline,1,0.7391,0.8527,0.4408,0.8645,2018-10-17 23:23:06
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,South,50 to 85 percent,Cell,1,0.7662,0.5614,0.3075,0.5866,2018-10-17 23:25:39
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,South,50 to 85 percent,Cell,1,0.5663,0.8071,0.7071,0.888,2018-10-17 23:27:36
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,White,South,85 percent or higher,Landline,1,0.8859,1.3467,0.9485,1.3783,2018-10-17 23:28:12
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,South,50 to 85 percent,Landline,1,0.8074,0.8071,0.4967,0.8134,2018-10-17 23:28:39
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.8949,0.7562,0.3779,0.773,2018-10-17 23:29:06
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,White,South,Less than 50 percent,Cell,1,0.2823,1.2694,3.5261,1.6108,2018-10-17 23:29:24
Und,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Unknown,Charlottesville,85 percent or higher,Landline,1,0.9495,1.0409,0.7042,1.0572,2018-10-17 23:31:21
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,North,85 percent or higher,Landline,1,0.939,0.8926,0.5012,0.9075,2018-10-17 23:35:33
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,Unknown,Charlottesville,85 percent or higher,Cell,1,0.9493,1.0836,0.7509,1.1006,2018-10-17 23:38:33
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Favorable,Don't know,30 to 44,Postgraduate Degree,Republican,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,White,South,50 to 85 percent,Cell,0.2222,0.7342,0.9535,0.6958,0.5642,2018-10-17 23:40:03
Dem,50 to 64,Grade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,Black,Charlottesville,50 to 85 percent,Landline,0.7778,0.8367,1.4652,0.9785,1.4263,2018-10-17 23:40:12
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,South,85 percent or higher,Landline,1,0.8656,1.5346,1.2435,1.5417,2018-10-17 23:40:12
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,South,50 to 85 percent,Landline,1,0.8155,0.6788,0.3128,0.7027,2018-10-17 23:40:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Charlottesville,85 percent or higher,Cell,1,0.9342,1.2939,0.6048,1.3161,2018-10-17 23:42:45
Dem,[DO NOT READ] Refused,High school,Black,Female,Black,Don't know,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,South,Less than 50 percent,Landline,1,0.1745,1.08,4.1876,1.5323,2018-10-17 23:42:54
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Landline,0.8889,0.8674,0.7826,0.4045,0.7948,2018-10-17 23:43:03
Dem,50 to 64,Some college or trade school,Black,Female,Black,Don't know,Don't know,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,40 to 64,Black,Charlottesville,85 percent or higher,Landline,1,0.8815,1.1968,0.6842,1.2017,2018-10-17 23:45:00
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Cell,1,0.917,0.9264,0.4401,0.9442,2018-10-17 23:46:30
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,White,North,Less than 50 percent,Landline,0.4444,0.3577,0.8682,1.6146,0.4426,2018-10-17 23:46:30
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,South,85 percent or higher,Landline,1,0.9328,0.8103,0.377,0.8243,2018-10-17 23:46:39
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.8821,1.1356,0.631,1.1403,2018-10-17 23:50:38
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,White,Charlottesville,50 to 85 percent,Cell,1,0.5609,1.1609,1.1028,1.2796,2018-10-17 23:53:11
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Landline,1,0.9487,1.0702,0.5279,1.087,2018-10-17 23:56:38
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,South,Less than 50 percent,Landline,1,0.4813,0.7376,0.86240000000000006,0.8369,2018-10-17 23:56:47
Rep,18 to 34,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,South,Less than 50 percent,Landline,1,0.4859,1.0988,1.651,1.2444,2018-10-17 23:58:08
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Landline,1,0.5161,1.2954,1.5653,1.0478,2018-10-18 00:00:14
Und,35 to 49,High school,White,Female,White,Approve,Don't know,Unfavorable,Don't know,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,North,Less than 50 percent,Cell,0.4444,0.3137,1.212,2.8179,0.7555,2018-10-18 00:00:41
Dem,65 and older,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,65 and older,White,South,50 to 85 percent,Landline,1,0.5965,0.9178,0.7245,1.0003,2018-10-18 00:01:35
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",18 to 39,White,Charlottesville,50 to 85 percent,Cell,1,0.6427,1.4095,1.1386,1.5162,2018-10-18 00:05:27
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,South,50 to 85 percent,Cell,1,0.8073,0.8163,0.4176,0.8227,2018-10-18 00:05:36
Dem,50 to 64,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,Charlottesville,Less than 50 percent,Cell,0.4444,0.3185,1.3103,2.9318,1.2278,2018-10-18 00:07:06
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,South,85 percent or higher,Cell,1,0.941,1.0872,0.6121,1.1051,2018-10-18 00:08:00
Dem,35 to 49,High school,Hispanic,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,Other Non-White,South,Less than 50 percent,Cell,0,0.2546,0.9719,3.1447,0.2302,2018-10-18 00:13:06
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, 4-Year College Grads",65 and older,White,North,Less than 50 percent,Landline,0.6667,0.4255,0.7028,0.7296,0.4889,2018-10-18 00:18:03
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.9508,0.8899,0.3983,0.9037,2018-10-18 00:18:12
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Landline,1,0.8608,1.5106,1.087,1.5179,2018-10-18 00:20:24
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,North,50 to 85 percent,Cell,1,0.7393,0.9485,0.5517,0.9967,2018-10-18 00:28:12
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,North,Less than 50 percent,Cell,1,0.2651,0.8685,1.4962,1.1178,2018-10-18 00:29:33
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,South,Less than 50 percent,Cell,0.8889,0.3738,0.8871,1.4689,1.0164,2018-10-18 00:32:24
Und,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",65 and older,White,Charlottesville,85 percent or higher,Landline,0.4444,0.8602,1.1073,0.6295,0.8904,2018-10-18 00:32:43
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Cell,1,0.9544,1.3587,0.8956,1.3793,2018-10-18 00:33:27
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.8691,0.8798,0.5181,0.9027,2018-10-18 00:34:12
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9291,0.983,0.4829,1.0005,2018-10-18 00:34:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),Nonwhite,40 to 64,White,Charlottesville,Less than 50 percent,Landline,0.6667,0.2418,0.656,1.3906,0.4816,2018-10-18 00:34:49
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,South,85 percent or higher,Cell,1,0.9308,1.3587,0.9183,1.3825,2018-10-18 00:35:34
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9105,0.9461,0.4348,0.965,2018-10-18 00:37:04
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.9156,0.7562,0.3694,0.7709,2018-10-18 00:40:22
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.9559,0.9247,0.449,0.9386,2018-10-18 00:46:40
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,South,Less than 50 percent,Landline,0.4444,0.0544,1.0669,4.7912,0.971,2018-10-18 00:47:05
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,North,50 to 85 percent,Cell,1,0.8024,0.7387,0.3511,0.7665,2018-10-18 00:52:11
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Cell,1,0.9507,1.0702,0.5268,1.0868,2018-10-18 00:52:47
Rep,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,Charlottesville,85 percent or higher,Landline,1,0.9305,1.5808,0.9142,1.6087,2018-10-18 01:05:17
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.8875,0.691,0.4002,0.707,2018-10-18 01:05:53
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,South,Less than 50 percent,Cell,1,0.2195,0.8973,2.0999,1.2059,2018-10-18 01:06:29
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Charlottesville,50 to 85 percent,Cell,1,0.7706,1.4095,0.95,1.5049,2018-10-18 01:10:14
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,50 to 85 percent,Cell,1,0.8367,0.8527,0.3897,0.8794,2018-10-18 01:12:38
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Landline,1,0.9531,0.8354,0.4205,0.8482,2018-10-18 01:21:13
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,North,50 to 85 percent,Landline,1,0.6923,0.6377,0.4174,0.6774,2018-10-18 01:24:13
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Landline,1,0.9411,1.5696,1.1275,1.5954,2018-10-18 01:28:16
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Charlottesville,50 to 85 percent,Landline,0.4444,0.5555,0.9757,0.8132,0.6781,2018-10-18 01:34:34
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,South,50 to 85 percent,Landline,1,0.848,0.5614,0.2781,0.5779,2018-10-18 01:36:50
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,White,South,85 percent or higher,Landline,1,0.9159,1.3803,1.0734,1.3855,2018-10-18 01:43:17
