response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,SCAPP,SCKAV,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Disapp.,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,Unknown/Non-White,South/Central,50 to 85 percent,Cell,1,0.7312,1.1562,0.9192,1.2166
Und,50 to 64,Some college or trade school,White,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,0.6667,0.8673,0.6403,0.4972,0.5335
Dem,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Approve,agree,30 to 44,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,North,85 percent or higher,Landline,0.7778,0.9236,2.2835,2.1342,2.2479
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9461,0.6399,0.4784,0.6426
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.5542,0.337,0.562
Dem,65 and older,[DO NOT READ] Refused,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9434,0.5935,0.3321,0.6028
Dem,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.8783,1.3037,1.3499,1.3352
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.8838,0.5906,0.8961
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,18 to 39,White,North,85 percent or higher,Landline,1,0.869,1.3468,0.9389,1.3812
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0448,0.6592,1.0594
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.6204,0.3631,0.6291
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Landline,1,0.9598,0.7325,0.4653,0.743
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.905,0.6405,0.9176
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.7031,0.4889,0.7129
Dem,35 to 49,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,Unknown/Non-White,North,Less than 50 percent,Cell,1,0.4278,1.3648,2.3409,1.5845
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,1.1237,0.9512,1.1394
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,50 to 85 percent,Cell,1,0.6969,1.7836,2.0125,1.8916
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.8984,0.851,0.5624,0.869
Rep,65 and older,High school,White,Male,White,Disapp.,Don't know,Don't know,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.9672,0.8407,0.9726
Rep,50 to 64,High school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,Don't know,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.5341,1.3936,1.5556
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9093,0.6933,0.4655,0.707
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0498,0.7392,1.0645
Und,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,Approve,agree,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,50 to 85 percent,Landline,1,0.816,0.6408,0.4203,0.6452
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0448,0.6592,1.0594
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.965,0.6234,0.4072,0.6321
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.8958,1.1535,1.1803,1.1783
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,0.7389,0.5501,0.7492
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Approve,disagree,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,Less than 50 percent,Landline,0.6667,0.2409,0.7969,2.4287,0.5848
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.5665,0.3985,0.5745
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.8542,0.7,0.5157,0.7196
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Disapp.,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.6204,0.3631,0.6239
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Approve,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Cell,0.8889,0.8647,0.7819,0.5877,0.7747
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,50 to 85 percent,Landline,1,0.8029,1.749,1.8958,1.8138
Dem,35 to 49,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,disagree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.9014,1.3037,1.3153,1.3309
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.965,0.8081,0.5677,0.8194
Dem,35 to 49,Bachelors' degree,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0448,0.6592,1.0506
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,1,0.9598,0.6403,0.4493,0.6495
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Landline,0.8889,0.9287,0.6373,0.4141,0.6341
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.8697,0.5733,0.8819
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.9134,0.6366,0.9262
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.9308,0.6157,0.9439
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,0.5366,0.3599,0.5441
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,0.8889,0.9496,0.7404,0.4582,0.7477
Und,65 and older,High school,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,50 to 85 percent,Landline,0.6667,0.7803,1.2748,1.2825,1.0922
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Don't know,Don't know,Unfavorable,Don't know,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.9557,0.9187,0.636,0.9321
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,Approve,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,0.8889,0.7795,0.9188,0.7157,0.9426
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.6522,1.2071,1.6753
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.8838,0.5906,0.8961
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Disapp.,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,50 to 85 percent,Cell,1,0.7196,1.5518,1.6785,1.6371
4,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,Unknown/Non-White,Bangor Area,Less than 50 percent,Cell,0.6667,0.2452,1.0996,3.5906,0.8072
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9215,0.5665,0.4173,0.5768
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.965,1.0508,0.6522,1.0655
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,50 to 85 percent,Landline,1,0.7684,0.9046,0.6644,0.9444
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,1.0498,0.7392,1.0645
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9102,1.0036,1.0004,1.0233
Und,35 to 49,Some college or trade school,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.8566,0.744,0.5696,0.7644
Rep,35 to 49,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.8511,0.5966,0.863
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.6836,0.5086,0.6931
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,0.6138,0.3727,0.6224
Dem,65 and older,High school,White,Female,White,Approve,Don't know,Favorable,Unfavorable,Disapp.,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,1.4566,1.326,1.477
Dem,18 to 34,High school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,Approve,agree,30 to 44,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,50 to 85 percent,Cell,0.8889,0.6429,3.4432,4.4628,3.4338
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,Less than 50 percent,Cell,0.1111,0.1402,0.8375,4.3892,0.2657
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,0.5825,0.3792,0.5906
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9023,0.6163,0.4194,0.6291
Und,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,0.8889,0.8605,1.2916,1.2386,1.2795
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,1,0.965,0.9036,0.6533,0.9162
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Landline,0.8889,0.8002,2.0333,2.0501,2.013
Und,65 and older,Graduate or Professional Degree,White,Male,Other,Disapp.,Dems. take House,Don't know,Favorable,Approve,disagree,65 and older,Postgraduate Degree,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,South/Central,85 percent or higher,Landline,0.6667,0.8773,0.4914,0.3087,0.4422
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.9007,0.5712,0.9133
Dem,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,0.4444,0.9125,1.2557,1.2152,1.1042
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.806,0.4728,0.8105
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,1,0.965,1.4171,1.3143,1.4369
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.744,0.5056,0.7544
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,0.6052,0.4321,0.6136
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.9488,0.4778,0.297,0.4799
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,50 to 85 percent,Landline,0.7778,0.7201,1.7404,2.0361,1.7648
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.4914,0.2807,0.4942
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,0.3333,0.6942,1.056,0.933,0.7479
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.8042,0.5062,0.8155
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,1.3573,1.2427,1.3763
Dem,65 and older,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,Disapp.,agree,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.932,0.7781,0.5253,0.7985
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.8781,0.851,0.5753,0.8542
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,50 to 85 percent,Cell,0.8889,0.6494,0.8609,0.7962,0.8581
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,South/Central,85 percent or higher,Cell,1,0.965,0.5542,0.337,0.562
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Disapp.,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.8099,0.5302,0.8212
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.954,0.851,0.5296,0.8636
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.965,1.4193,1.2885,1.4391
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.6522,1.2071,1.6753
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,North,Less than 50 percent,Cell,1,0.156,1.1807,5.5881,1.72
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,50 to 85 percent,Cell,1,0.5447,1.5508,2.3274,1.7178
