response,ager,educ,file_race,gender,race_eth,approve,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,White,85 percent or higher,Landline,1,0.8526,0.5565,0.3639,0.5751
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,disagree,disagree,agree,Don't know,Don't know,Favorable,Support,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6681,1.0298,0.5666,1.0581
Rep,35 to 49,High school,White,Male,White,Approve,agree,agree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6606,1.819,1.8956,1.871
Und,35 to 49,High school,White,Male,White,Don't know,disagree,Don't know,agree,Reps. keep House,Don't know,Don't know,Support,45 to 64,High School Grad. or Less,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",Rest,35 to 49,White,50 to 85 percent,Landline,0.2222,0.5817,1.819,2.1528,0.7611
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9353,0.8926,0.3741,0.9121
Rep,50 to 64,High school,Unknown,Female,Black,Disapp.,disagree,agree,agree,Reps. keep House,Don't know,Don't know,Support,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,50 to 64,Unknown,50 to 85 percent,Cell,1,0.8356,3.1117,3.7715,3.2248
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,Don't know,disagree,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9718,0.6009,0.2895,0.6121
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,50 to 64,Unknown,85 percent or higher,Cell,0.7778,0.9616,0.5685,0.2169,0.5676
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.9826,0.5904,0.2453,0.6013
Rep,50 to 64,High school,White,Female,White,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Favorable,Support,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Landline,0.8889,0.8006,3.0901,4.0023,3.1771
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Chesterfield,50 to 64,White,85 percent or higher,Landline,1,0.9164,1.2373,0.8542,1.2671
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,agree,Don't know,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.8311,1.2684,0.641,1.3156
Rep,65 and older,Some college or trade school,White,Male,White,Approve,agree,disagree,Don't know,Reps. keep House,Don't know,Favorable,Oppose,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Cell,1,0.5252,1.6428,1.2686,1.8416
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,disagree,disagree,agree,Reps. keep House,Favorable,Favorable,Support,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,50 to 85 percent,Landline,1,0.6949,0.9279,0.6304,0.9896
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,agree,Reps. keep House,Favorable,Unfavorable,Support,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Henrico,35 to 49,White,85 percent or higher,Cell,1,0.9358,0.4939,0.2279,0.4983
Rep,65 and older,Bachelors' degree,Other,Male,White,Approve,agree,disagree,agree,Reps. keep House,Favorable,Favorable,Oppose,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,Other Non-White,85 percent or higher,Cell,1,0.8893,1.4449,0.994,1.4574
Dem,50 to 64,High school,White,Female,White,Disapp.,disagree,disagree,disagree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9292,1.7339,2.0642,1.749
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Support,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,35 to 49,White,85 percent or higher,Cell,1,0.9198,0.573,0.3466,0.5866
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9721,0.4621,0.1854,0.4707
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,agree,agree,agree,Dems. take House,Favorable,Don't know,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,White,Less than 50 percent,Landline,1,0.1541,0.8415,3.7035,1.2358
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,disagree,Don't know,Don't know,Dems. take House,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Henrico,65 and older,White,85 percent or higher,Cell,1,0.9721,0.6885,0.2558,0.7014
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,agree,agree,agree,Reps. keep House,Favorable,Favorable,Support,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Chesterfield,50 to 64,White,85 percent or higher,Landline,1,0.9774,1.1391,0.5231,1.1532
Rep,50 to 64,High school,White,Male,White,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Cell,0.6667,0.5279,2.1652,2.6405,2.0206
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Rest,50 to 64,White,85 percent or higher,Landline,1,0.9335,1.0343,0.6122,1.057
Rep,35 to 49,High school,Unknown,Male,White,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Support,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,35 to 49,Unknown,50 to 85 percent,Cell,1,0.6005,1.8317,2.0507,2.0033
Rep,65 and older,Some college or trade school,White,Male,White,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Unfavorable,Support,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.8901,1.3463,0.9879,1.3834
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,50 to 64,White,85 percent or higher,Landline,1,0.975,0.6327,0.227,0.6445
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,Black,50 to 85 percent,Cell,1,0.7673,0.7624,0.4887,0.8002
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.8877,0.9816,0.6533,0.9901
Rep,50 to 64,High school,White,Male,White,Approve,disagree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,Less than 50 percent,Cell,1,0.1522,1.9356,9.9426,2.8512
Rep,18 to 34,Bachelors' degree,Black,Female,White,Approve,agree,disagree,agree,Reps. keep House,Favorable,Favorable,Support,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,18 to 34,Black,85 percent or higher,Landline,1,0.8724,1.3888,1.2938,1.4308
Rep,50 to 64,Some college or trade school,Black,Female,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,50 to 64,Black,85 percent or higher,Landline,1,0.9139,1.2377,0.8655,1.2678
Und,65 and older,Graduate or Professional Degree,Black,Female,White,Approve,agree,disagree,disagree,Reps. keep House,Favorable,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,Black,85 percent or higher,Landline,1,0.969,0.6565,0.3691,0.6689
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,disagree,Don't know,disagree,Reps. keep House,Favorable,Don't know,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,50 to 64,White,85 percent or higher,Cell,1,0.8766,1.4031,0.8207,1.4447
Dem,65 and older,Bachelors' degree,Other,Female,White,Disapp.,disagree,Don't know,Don't know,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Henrico,65 and older,Other Non-White,85 percent or higher,Landline,1,0.8875,0.5746,0.3335,0.5907
Dem,65 and older,High school,White,Female,White,Approve,disagree,disagree,disagree,Dems. take House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,0,0.8919,1.4693,1.5436,1.1045
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,disagree,disagree,disagree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,65 and older,White,85 percent or higher,Landline,1,0.8869,0.8129,0.4893,0.8357
Und,35 to 49,Graduate or Professional Degree,Black,Male,White,Don't know,disagree,Don't know,disagree,Reps. keep House,Favorable,Favorable,Support,30 to 44,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,35 to 49,Black,50 to 85 percent,Cell,0.5556,0.5266,1.2775,1.2703,1.1353
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,50 to 64,White,85 percent or higher,Landline,1,0.9616,0.558,0.2505,0.5688
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,agree,agree,agree,Dems. take House,Don't know,Unfavorable,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Henrico,65 and older,White,Less than 50 percent,Landline,1,0.4589,0.9673,1.0691,1.1129
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Landline,1,0.298,0.8541,1.6394,1.0759
Und,50 to 64,Some college or trade school,White,Female,White,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9482,1.0343,0.6028,1.044
Rep,35 to 49,High school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Support,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,Less than 50 percent,Landline,1,0.434,2.6318,6.6155,2.8439
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,White,50 to 85 percent,Cell,1,0.8062,0.7612,0.3044,0.7708
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,Rest,65 and older,White,Less than 50 percent,Cell,1,0.4976,1.4783,2.2219,1.6744
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,35 to 49,White,85 percent or higher,Landline,1,0.9778,0.4062,0.2063,0.4137
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Favorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Chesterfield,35 to 49,White,85 percent or higher,Landline,1,0.9509,0.6096,0.3551,0.6154
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Henrico,50 to 64,White,Less than 50 percent,Landline,1,0.4929,0.7703,0.8259,0.874
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,50 to 64,White,85 percent or higher,Landline,1,0.9306,0.9533,0.6065,0.9746
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.9892,0.6079,0.2504,0.6193
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,35 to 49,Black,85 percent or higher,Cell,1,0.9561,0.4861,0.2919,0.4957
Rep,50 to 64,Graduate or Professional Degree,Other,Male,Black,Approve,agree,agree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Henrico,50 to 64,Other Non-White,85 percent or higher,Landline,0.8889,0.9807,0.7184,0.3405,0.7297
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,agree,Don't know,disagree,Reps. keep House,Don't know,Favorable,Support,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,50 to 64,White,85 percent or higher,Landline,1,0.9303,0.876,0.3521,0.8956
Und,65 and older,Bachelors' degree,Black,Male,Black,Don't know,disagree,agree,agree,Don't know,Don't know,Don't know,Support,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,65 and older,Black,Less than 50 percent,Cell,1,0.1339,1.2991,4.3248,1.9737
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,85 percent or higher,Landline,1,0.9048,0.8689,0.5674,0.8762
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Republican,Female,Very likely,Democrat,Nonwhite,Henrico,35 to 49,White,85 percent or higher,Landline,1,0.8504,0.4939,0.2507,0.4988
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,18 to 34,White,50 to 85 percent,Cell,1,0.5123,1.3359,1.1425,1.5045
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Henrico,65 and older,White,85 percent or higher,Landline,1,0.9836,0.6439,0.4145,0.6558
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,agree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.985,0.8129,0.4406,0.8241
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,agree,agree,agree,Don't know,Favorable,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,Less than 50 percent,Landline,1,0.394,1.5639,2.6688,1.8558
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Don't know,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,18 to 34,White,50 to 85 percent,Landline,1,0.6942,1.2129,0.9427,1.2937
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,30 to 44,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Rest,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.6754,1.3668,1.2073,1.4029
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Henrico,50 to 64,White,85 percent or higher,Landline,1,0.9834,0.5777,0.2068,0.5884
Rep,18 to 34,Bachelors' degree,White,Male,White,Disapp.,disagree,agree,agree,Don't know,Don't know,Don't know,Support,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 34,White,50 to 85 percent,Landline,0.8889,0.6994,1.0273,0.5362,1.073
Dem,65 and older,High school,White,Male,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,Rest,65 and older,White,Less than 50 percent,Landline,0.7778,0.4716,2.5942,5.0714,2.765
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,35 to 49,White,85 percent or higher,Cell,1,0.9401,0.6096,0.3592,0.6226
Dem,65 and older,High school,Black,Female,Black,Disapp.,disagree,disagree,agree,Dems. take House,Don't know,Favorable,Oppose,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,65 and older,Black,50 to 85 percent,Landline,1,0.778,1.3412,1.2774,1.4048
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9162,0.6821,0.3874,0.6985
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,35 to 49,White,85 percent or higher,Cell,1,0.9559,0.4062,0.211,0.4142
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,50 to 64,White,85 percent or higher,Landline,1,0.9814,1.1391,0.5209,1.1602
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9853,0.4869,0.1803,0.4959
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",Henrico,50 to 64,White,85 percent or higher,Cell,0.8889,0.9285,0.6667,0.235,0.6667
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,50 to 64,White,85 percent or higher,Landline,1,0.9455,0.5094,0.2341,0.52
Und,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,disagree,disagree,Don't know,Don't know,Don't know,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Chesterfield,35 to 49,White,Less than 50 percent,Cell,1,0.3673,1.1013,1.532,1.3261
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Rest,18 to 34,Black,50 to 85 percent,Cell,1,0.545,1.3776,1.686,1.4463
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Support,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9011,0.8926,0.3883,0.9159
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,35 to 49,White,85 percent or higher,Cell,1,0.9088,0.7283,0.3366,0.7465
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,50 to 64,White,85 percent or higher,Cell,1,0.9751,0.876,0.3359,0.8923
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,50 to 64,White,85 percent or higher,Cell,1,0.8614,0.713,0.3739,0.7358
Rep,18 to 34,Bachelors' degree,Asian,Male,Asian,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Don't know,Support,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,Nonwhite,Chesterfield,18 to 34,Other Non-White,Less than 50 percent,Cell,0.4444,0.3677,2.4034,5.993,1.5382
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.9262,0.6187,0.3121,0.624
Und,35 to 49,Graduate or Professional Degree,Other,Female,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Support,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,35 to 49,Other Non-White,Less than 50 percent,Cell,1,0.4974,1.0775,1.9359,1.2204
Dem,65 and older,High school,Hispanic,Male,Hispanic,Disapp.,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Democrat,Nonwhite,Henrico,65 and older,Other Non-White,Less than 50 percent,Landline,0.6667,0.4403,2.4093,5.5607,1.8461
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Don't know,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9569,0.7404,0.4181,0.7478
Dem,65 and older,Graduate or Professional Degree,Black,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Henrico,65 and older,Black,85 percent or higher,Landline,1,0.9644,0.4791,0.2411,0.4843
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,agree,disagree,disagree,Don't know,Don't know,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,0.6667,0.556,0.6911,0.4935,0.6453
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,35 to 49,White,85 percent or higher,Landline,1,0.8798,0.4939,0.2424,0.5083
